Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility,Delta
2024-07-0116:00 EST,"META
watching",504.68,Call,520,15804,2024-07-05,4,1.01,1.05,1.09,1.04,4301,3.67,0.2636,0.146715
2024-07-0116:00 EST,"META
watching",504.68,Call,510,9289,2024-07-05,4,3.3,3.4,3.5,3.38,2571,3.61,0.2616,0.363329
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,265,16883,2024-11-15,137,12.1,12.4,12.7,12.25,927,18.21,0.5444,0.318797
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,300,11140,2024-08-16,46,1.43,1.48,1.52,1.52,8944,1.25,0.6415,0.077076
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,245,3750,2024-07-12,11,0.68,0.72,0.75,0.68,823,4.56,0.5888,0.073828
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,215,18601,2024-07-12,11,5.3,5.48,5.65,5.46,2574,7.23,0.5185,0.418385
2024-07-0115:59 EST,"TSLA
watching",209.86,Put,180,8647,2024-07-12,11,0.37,0.41,0.44,0.44,4548,1.9,0.5588,-0.049868
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,250,19629,2024-07-05,4,0.11,0.11,0.12,0.12,3283,5.98,0.7905,0.019397
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,230,50626,2024-07-05,4,0.65,0.67,0.69,0.71,6239,8.11,0.6613,0.100147
2024-07-0115:59 EST,"TSLA
watching",209.86,Put,215,6216,2024-07-05,4,8,8.13,8.25,7.9,392,15.86,0.5895,-0.638679
2024-07-0115:59 EST,"TSLA
watching",209.86,Call,215,82984,2024-07-05,4,3.2,3.28,3.35,3.35,11559,7.18,0.62,0.370156
2024-07-0115:59 EST,"TSLA
watching",209.86,Put,207.5,51047,2024-07-05,4,3.8,3.93,4.05,3.8,203,251.46,0.5666,-0.409622
