Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
PKG,PackagingCorp,180.06,-2.50,-1.37%,3535,4147,36.33%,+1348.77%,667,2868,4.2999
HNST,TheHonestCom,2.81,-0.11,-3.77%,6385,7012,14.72%,+1344.57%,6368,17,0.0027
ANSS,AnsysInc,321.16,-0.34,-0.11%,10008,5734,28.72%,+1344.16%,73,9935,136.0959
MSM,MscIndustrial,78.23,-1.08,-1.36%,8549,3502,79.63%,+1246.30%,3291,5258,1.5977
ATEC,AlphatecHoldi,9.98,-0.47,-4.50%,3732,10069,26.28%,+1135.76%,2232,1500,0.6720
CRNX,CrineticsPhar,46.07,+1.28,2.86%,5417,5885,4.78%,+966.34%,5403,14,0.0026
HOLI,HollysysAutom,25.45,+3.81,17.61%,6108,11545,22.20%,+921.40%,1218,4890,4.0148
POET,PoetTechnolog,2.77,+0.70,33.82%,4674,12823,35.36%,+905.16%,4227,447,0.1057
BZ,KanzhunLtdAD,18.62,-0.19,-1.01%,3594,20994,1.83%,+898.33%,3582,12,0.0034
HCC,WarriorMetCo,73.37,+10.60,16.89%,5130,9916,81.57%,+715.58%,4208,922,0.2191
HNRG,HalladorEnerg,8.25,+0.48,6.18%,3752,8202,44.75%,+701.71%,88,3664,41.6364
PBI,PitneyBowesI,5.95,+0.87,17.13%,27232,96344,76.01%,+688.65%,26311,921,0.0350
FDMT,4DMolecularT,21.34,+0.35,1.67%,4174,3618,43.94%,+671.53%,67,4107,61.2985
AMWL,AmericanWell,0.25,-0.07,-23.03%,4687,2356,0.00%,+668.36%,4,4683,1170.7500
OLPX,OlaplexHoldin,1.53,-0.01,-0.65%,6590,44639,2.54%,+613.20%,6588,2,0.0003
RSI,RushStreetIn,9.46,-0.13,-1.36%,4567,19554,32.79%,+583.68%,4564,3,0.0007
GSM,FerroglobePlc,5.49,+0.13,2.43%,5301,25800,31.54%,+560.15%,5300,1,0.0002
METC,RamacoResourc,14.01,+1.56,12.53%,4237,17849,43.53%,+551.85%,4171,66,0.0158
LEGN,LegendBiotech,46.02,+1.73,3.91%,2553,10489,42.16%,+528.82%,2541,12,0.0047
FGEN,FibrogenIncC,0.7701,-0.12,-13.69%,11771,39596,24.13%,+526.78%,11413,358,0.0314
INSG,InseegoCorp,12.81,+2.15,20.17%,2557,10957,7.00%,+520.63%,976,1581,1.6199
PRIM,PrimorisServi,47.6,-2.29,-4.59%,2724,7364,46.83%,+458.20%,1720,1004,0.5837
IMVT,ImmunovantInc,27.51,+1.11,4.20%,3999,22313,16.19%,+447.06%,3820,179,0.0469
