Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
2024-07-0212:56 EST,NKLA,8.04,Put,0.5,1067,2024-07-19,17,0.23,0.24,0.25,0.24,90481,0.01,1244.94%
2024-07-0213:05 EST,MAXN,0.1799,Put,2.5,511,2024-07-19,17,2.35,2.38,2.4,2.4,135820,0,1199.69%
2024-07-0215:56 EST,MAXN,0.1799,Put,1.5,1243,2024-07-19,17,1.35,1.38,1.4,1.4,56092,0.02,1097.86%
2024-07-0215:59 EST,MAXN,0.1799,Put,1,9300,2024-07-19,17,0.85,0.88,0.9,0.9,65921,0.14,1013.24%
2024-07-0215:55 EST,"NVDA
watching",122.67,Call,0.5,686,2024-12-20,171,121.9,122.28,122.65,122.05,5733,0.12,889.50%
2024-07-0215:59 EST,MAXN,0.1799,Put,0.5,7989,2024-07-19,17,0.35,0.38,0.4,0.4,55355,0.14,854.35%
2024-07-0215:53 EST,"NVDA
watching",122.67,Call,0.5,1897,2025-01-17,199,121.9,122.28,122.65,121.95,44002,0.04,831.24%
2024-07-0215:40 EST,CONN,0.7401,Put,2,7061,2024-07-19,17,1.25,1.33,1.4,1.25,11085,0.64,545.58%
2024-07-0215:49 EST,MAXN,0.1799,Put,0.5,972,2024-08-16,45,0.35,0.4,0.45,0.4,4012,0.24,531.15%
2024-07-0212:37 EST,NKLA,8.04,Put,1,511,2025-01-17,199,0.57,0.71,0.84,0.76,53773,0.01,461.22%
2024-07-0211:53 EST,MAXN,0.1799,Put,2.5,5000,2024-09-20,80,2.35,2.38,2.4,2.35,59392,0.08,432.97%
2024-07-0210:38 EST,EBS,7.49,Call,2.5,502,2024-07-19,17,4.9,5.15,5.4,5.2,507,0.99,422.62%
2024-07-0215:55 EST,FFIE,0.4342,Put,0.5,516,2024-07-19,17,0.17,0.18,0.18,0.17,15141,0.03,344.83%
2024-07-0215:55 EST,FFIE,0.4342,Put,0.5,882,2024-07-26,24,0.18,0.19,0.2,0.19,2106,0.42,337.17%
2024-07-0215:59 EST,FFIE,0.4342,Call,0.5,4191,2024-07-19,17,0.08,0.09,0.1,0.1,12262,0.34,330.42%
2024-07-0215:59 EST,GME,23.98,Call,125,6438,2024-07-19,17,0.12,0.13,0.13,0.12,33739,0.19,327.19%
2024-07-0215:53 EST,SANA,5.35,Put,2.5,903,2024-07-19,17,0.15,0.18,0.2,0.17,3048,0.3,323.16%
2024-07-0215:51 EST,FFIE,0.4342,Call,0.5,1042,2024-08-16,45,0.16,0.17,0.18,0.16,15206,0.07,305.25%
