Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,230,311933,2024-07-05,3,4.55,4.6,4.65,4.55,17004,18.34,45.95%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,220,217985,2024-07-05,3,0.65,0.67,0.68,0.68,2397,90.94,49.83%
2024-07-0216:00 EST,"TSLA
watching",231.26,Put,225,205455,2024-07-05,3,1.45,1.46,1.48,1.46,137,1499.67,46.38%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,122,192639,2024-07-05,3,1.95,2,2.05,1.98,13941,13.82,36.00%
2024-07-0216:00 EST,"TSLA
watching",231.26,Call,235,192073,2024-07-05,3,2.47,2.5,2.53,2.48,9773,19.65,47.94%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,225,190115,2024-07-05,3,7.75,7.88,8,7.9,16770,11.34,47.64%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,220,185721,2024-07-05,3,1.69,1.69,1.7,1.7,38080,4.88,19.02%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,125,153966,2024-07-05,3,0.7,0.71,0.72,0.71,55410,2.78,35.65%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,240,150578,2024-07-05,3,1.32,1.34,1.35,1.32,12797,11.77,50.91%
2024-07-0215:59 EST,"AMZN
watching",200,Call,200,146074,2024-07-05,3,1.65,1.67,1.7,1.68,31483,4.64,22.62%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,123,138784,2024-07-05,3,1.44,1.46,1.49,1.45,17326,8.01,35.67%
2024-07-0215:59 EST,"NVDA
watching",122.67,Put,120,119424,2024-07-05,3,0.58,0.59,0.59,0.59,38082,3.14,36.32%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,124,96347,2024-07-05,3,1.03,1.05,1.06,1.04,29948,3.22,35.83%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,230,94464,2024-07-05,3,3.15,3.2,3.25,3.2,381,247.94,46.01%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,210,87247,2024-07-05,3,0.21,0.22,0.22,0.21,10268,8.5,61.77%
2024-07-0215:59 EST,AMD,164.32,Call,160,86259,2024-07-05,3,4.85,4.9,4.95,4.96,13285,6.49,33.90%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,215,85111,2024-07-05,3,0.35,0.36,0.36,0.35,2226,38.23,55.05%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,220,84311,2024-07-05,3,11.85,12.08,12.3,12.05,25460,3.31,50.16%
2024-07-0215:59 EST,"NVDA
watching",122.67,Put,122,81757,2024-07-05,3,1.22,1.25,1.27,1.24,14843,5.51,35.55%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,250,78244,2024-07-05,3,0.42,0.43,0.43,0.43,9074,8.62,59.22%
2024-07-0215:59 EST,"AAPL
watching",220.27,Put,217.5,74563,2024-07-05,3,0.42,0.43,0.44,0.44,4369,17.07,18.16%
2024-07-0215:59 EST,AMD,164.32,Call,165,72845,2024-07-05,3,1.7,1.73,1.77,1.7,16788,4.34,33.49%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,222.5,71780,2024-07-05,3,0.65,0.66,0.66,0.67,15724,4.56,18.57%
2024-07-0215:59 EST,"AAPL
watching",220.27,Put,215,71756,2024-07-05,3,0.17,0.18,0.18,0.18,17800,4.03,20.64%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,217.5,69040,2024-07-05,3,0.45,0.46,0.47,0.47,340,203.06,51.96%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,200,63896,2024-07-05,3,0.11,0.11,0.12,0.11,43759,1.46,78.00%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,217.5,63722,2024-07-05,3,3.3,3.4,3.5,3.3,22431,2.84,18.24%
2024-07-0215:59 EST,AMD,164.32,Call,162.5,62455,2024-07-05,3,3,3.08,3.15,3.05,13448,4.64,33.31%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,245,61695,2024-07-05,3,0.73,0.74,0.75,0.74,7411,8.32,55.03%
2024-07-0215:59 EST,"NVDA
watching",122.67,Put,121,61028,2024-07-05,3,0.85,0.87,0.88,0.88,15259,4,36.18%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,250,55838,2024-07-12,10,2.25,2.28,2.3,2.3,4483,12.46,53.66%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,230,53791,2024-07-12,10,8.2,8.25,8.3,8.25,7526,7.15,48.81%
2024-07-0215:59 EST,"NVDA
watching",122.67,Put,123,50572,2024-07-05,3,1.64,1.69,1.74,1.73,18652,2.71,35.67%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,250,49722,2024-07-19,17,4,4.03,4.05,4,9638,5.16,51.81%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,225,49191,2024-07-05,3,0.22,0.23,0.23,0.22,26467,1.86,19.24%
2024-07-0215:59 EST,"AMZN
watching",200,Call,200,48167,2024-07-19,17,4.8,4.82,4.85,4.8,138409,0.35,26.45%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,220,46925,2024-07-12,10,3.25,3.28,3.3,3.25,27320,1.72,20.38%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,126,46178,2024-07-05,3,0.46,0.47,0.48,0.48,23024,2.01,35.96%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,245,46175,2024-07-12,10,3.15,3.18,3.2,3.12,2897,15.94,52.12%
2024-07-0215:59 EST,RIVN,14.89,Call,15,43509,2024-07-05,3,0.29,0.3,0.31,0.31,20958,2.08,66.51%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,205,43294,2024-07-05,3,26.35,26.58,26.8,26.5,46647,0.93,69.99%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,127,42181,2024-07-05,3,0.3,0.31,0.31,0.31,34971,1.21,36.06%
2024-07-0215:54 EST,ABEV,2.06,Put,2,41873,2024-08-16,45,0.05,0.08,0.1,0.1,11569,3.62,38.91%
2024-07-0215:59 EST,"AMZN
watching",200,Call,200,41249,2024-07-12,10,3.5,3.53,3.55,3.55,16722,2.47,25.78%
2024-07-0215:59 EST,SIRI,3.1,Call,3.5,41055,2024-07-19,17,0.1,0.13,0.15,0.15,78539,0.52,109.19%
2024-07-0215:59 EST,"AMZN
watching",200,Call,197.5,40834,2024-07-05,3,3.2,3.25,3.3,3.27,11862,3.44,23.20%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,121.5,40655,2024-07-05,3,2.24,2.3,2.35,2.26,5594,7.27,35.65%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,128,40370,2024-07-05,3,0.19,0.2,0.2,0.19,33088,1.22,35.99%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,205,40251,2024-07-05,3,0.15,0.16,0.16,0.16,19504,2.06,70.72%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,125,39405,2024-07-12,10,2.41,2.45,2.49,2.45,17359,2.27,41.83%
2024-07-0215:59 EST,"AMZN
watching",200,Call,202.5,37057,2024-07-05,3,0.73,0.76,0.78,0.73,12283,3.02,22.88%
2024-07-0215:59 EST,AMD,164.32,Put,157.5,36329,2024-07-05,3,0.18,0.19,0.2,0.19,5565,6.53,34.12%
2024-07-0215:59 EST,"AAPL
watching",220.27,Put,220,36217,2024-07-05,3,1.15,1.17,1.2,1.18,1653,21.91,16.92%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,225,36167,2024-08-16,45,22.4,22.48,22.55,22.27,8708,4.15,57.65%
2024-07-0215:59 EST,"NVDA
watching",122.67,Put,118,35588,2024-07-05,3,0.26,0.27,0.27,0.27,20417,1.74,38.29%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,230,34547,2024-07-19,17,10.5,10.6,10.7,10.58,10696,3.23,48.62%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,240,33997,2024-07-12,10,4.35,4.4,4.45,4.38,3634,9.36,50.67%
2024-07-0215:59 EST,"NVDA
watching",122.67,Put,121.5,33648,2024-07-05,3,1.02,1.04,1.06,1.03,9072,3.71,35.43%
2024-07-0215:59 EST,AMD,164.32,Put,160,33115,2024-07-05,3,0.45,0.46,0.47,0.47,5905,5.61,32.60%
2024-07-0215:59 EST,MPW,4.03,Put,3,32960,2024-08-16,45,0.2,0.23,0.25,0.22,17587,1.87,121.93%
2024-07-0215:59 EST,AMD,164.32,Call,170,32859,2024-07-05,3,0.4,0.42,0.43,0.43,17700,1.86,36.02%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,195,32657,2024-08-16,45,41.95,42.1,42.25,41.78,37483,0.87,57.88%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,121,31943,2024-07-05,3,2.57,2.63,2.69,2.57,8146,3.92,35.41%
2024-07-0215:59 EST,"TSLA
watching",231.26,Put,220,31707,2024-07-12,10,2.83,2.85,2.87,2.85,435,72.89,48.37%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,130,30834,2024-07-19,17,2,2.03,2.05,2,97448,0.32,43.26%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,215,29489,2024-07-05,3,5.5,5.63,5.75,5.7,26775,1.1,24.91%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,225,29348,2024-07-12,10,11,11.13,11.25,11.03,3721,7.89,48.28%
2024-07-0215:59 EST,"NVDA
watching",122.67,Call,130,29306,2024-07-12,10,0.97,0.98,0.99,0.99,24089,1.22,41.35%
2024-07-0215:59 EST,"AAPL
watching",220.27,Call,225,29224,2024-09-20,80,8.2,8.23,8.25,8.2,29275,1,22.50%
2024-07-0215:59 EST,"TSLA
watching",231.26,Call,235,29092,2024-07-12,10,6,6.05,6.1,6.1,1848,15.74,49.94%
2024-07-0215:59 EST,"AMZN
watching",200,Call,205,28914,2024-07-05,3,0.3,0.31,0.32,0.3,13257,2.18,24.16%
2024-07-0215:59 EST,ON,72.92,Call,75,28561,2024-07-05,3,0.2,0.21,0.21,0.21,188,151.92,32.89%
