Report Date,Symbol,Name,Last,Change,% Change, Options Tot Vol , Options OI ,Options IV 1y,Options % Change 1m, Call Vol , Put Vol ,Put/Call,
24-10-17,FOLD,AmicusTherape,12.24,1.74,16.57%," 29,864 "," 18,972 ",37.40%,1764.17%," 17,113 "," 12,751 ",0.7451,157.4%
24-10-17,CLW,ClearwaterPap,28.04,0.05,0.18%," 4,930 "," 3,005 ",100.00%,1475.08%," 3,512 "," 1,418 ",0.4038,164.1%
24-10-17,MIRM,MirumPharmace,39.42,-0.36,-0.90%," 4,515 "," 4,650 ",35.49%,1400.00%," 2,261 "," 2,254 ",0.9969,97.1%
24-10-17,INFY,InfosysLtdAD,22.57,-0.33,-1.46%," 48,728 "," 68,574 ",40.76%,1351.97%," 4,448 "," 44,280 ",9.955,71.1%
24-10-17,APPN,AppianCorpCl,30.93,-0.18,-0.56%," 6,558 "," 8,194 ",55.28%,1054.58%, 211 ," 6,347 ",30.0806,80.0%
24-10-17,IRDM,IridiumCommI,34.19,3.99,13.20%," 11,953 "," 20,704 ",42.55%,938.49%," 4,864 "," 7,089 ",1.4574,57.7%
24-10-17,GEVO,GevoInc,2.75,0.5,22.22%," 48,506 "," 92,377 ",38.69%,891.33%," 31,737 "," 16,769 ",0.5284,52.5%
24-10-17,ELV,ElevanceHealt,438.16,-58.8,-11.83%," 39,748 "," 45,091 ",59.64%,847.51%," 12,983 "," 26,765 ",2.0615,88.2%
24-10-17,MOH,MolinaHealthc,289.67,-41.33,-12.49%," 3,428 "," 9,493 ",100.00%,767.85%," 1,602 "," 1,826 ",1.1398,36.1%
24-10-17,WLK,WestlakeCorp,139.67,-2.46,-1.73%," 4,273 "," 12,844 ",90.09%,726.50%, -   ," 4,273 ",999.99,33.3%
24-10-17,PRGO,PerrigoCompan,25.05,0.66,2.71%," 9,816 "," 33,934 ",92.22%,713.26%," 9,619 ", 197 ,0.0205,28.9%
24-10-17,CCK,CrownCork&S,94.15,0.11,0.12%," 14,959 "," 40,021 ",85.69%,703.82%," 7,852 "," 7,107 ",0.9051,37.4%
24-10-17,ST,SensataTechno,35.95,0.04,0.11%," 9,770 "," 16,243 ",85.23%,656.78%," 9,738 ", 32 ,0.0033,60.1%
24-10-17,OTIS,OtisWorldwide,105.03,-0.1,-0.10%," 10,300 "," 30,288 ",82.02%,652.37%," 10,205 ", 95 ,0.0093,34.0%
24-10-17,RF,RegionsFinanc,24.05,0.07,0.29%," 12,925 "," 92,382 ",72.75%,643.67%," 11,342 "," 1,583 ",0.1396,14.0%
24-10-17,YETI,YetiHoldings,39.43,-1.14,-2.81%," 7,880 "," 33,972 ",76.93%,643.40%," 1,613 "," 6,267 ",3.8853,23.2%
24-10-17,CNC,CenteneCorp,62.59,-6.71,-9.68%," 45,733 "," 107,274 ",100.00%,619.86%," 8,983 "," 36,750 ",4.0911,42.6%
24-10-17,NNOX,Nano-XImaging,6.03,0.03,0.50%," 10,392 "," 92,489 ",13.44%,606.94%," 5,306 "," 5,086 ",0.9585,11.2%
24-10-17,MVIS,Microvision,1.115,-0.01,-1.33%," 14,705 "," 71,571 ",25.18%,572.69%," 14,059 ", 646 ,0.0459,20.5%
24-10-17,UUUU,EnergyFuelsI,6.64,0.04,0.67%," 36,454 "," 127,354 ",100.00%,566.80%," 34,904 "," 1,550 ",0.0444,28.6%
24-10-17,VICR,VicorCorp,41.26,1.03,2.56%," 3,395 "," 5,903 ",66.10%,561.79%," 3,312 ", 83 ,0.0251,57.5%
