Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-09,a,b,c,d,e,f,g,h,i,j,k,l
24-07-09,a,b,c,d,e,f,g,h,i,j,k,l
24-07-09,a,b,c,d,e,f,g,h,i,j,k,l
24-07-10,UROY,UraniumRoyalt,2.5,+0.24,10.62%,14751,23532,18.33%,+1257.04%,14198,553,0.0389
24-07-10,MBUU,MalibuBoatsI,30.78,+0.26,0.85%,1807,3519,57.82%,+1172.54%,14,1793,128.0714
24-07-10,NVRO,NevroCorp,7.89,+0.28,3.68%,3019,17061,66.87%,+1147.52%,2938,81,0.0276
24-07-10,LZ,Legalzoom.com,6.09,-1.76,-22.36%,21510,40317,100.00%,+1061.45%,16282,5228,0.3211
24-07-10,RGTI,RigettiComput,1.12,+0.08,7.69%,10005,26022,18.93%,+1052.65%,9731,274,0.0282
24-07-10,NEO,NeogenomicsIn,13.49,+0.09,0.67%,6128,16982,23.45%,+935.14%,3329,2799,0.8408
24-07-10,BIRD,AllbirdsIncC,0.5804,+0.09,17.66%,4041,19281,17.04%,+897.78%,4040,1,0.0002
24-07-10,WDFC,WD40Company,219.15,-1.71,-0.78%,4231,5690,87.94%,+895.53%,2183,2048,0.9382
24-07-10,GENI,GeniusSports,5.36,-0.09,-1.74%,3112,27483,65.55%,+884.81%,3090,22,0.0071
24-07-10,QURE,UniqureN.V.,10.79,+4.12,61.77%,40799,48724,63.73%,+863.15%,30491,10308,0.3381
24-07-10,CAG,ConagraBrands,28.78,+0.04,0.14%,31269,56660,74.65%,+796.47%,14449,16820,1.1641
24-07-10,VSTS,VestisCorpora,11.74,-0.51,-4.12%,7385,47649,77.50%,+786.55%,7259,126,0.0174
24-07-10,LNTH,LantheusHoldi,106.01,+28.31,36.44%,13628,29574,56.38%,+769.69%,5959,7669,1.2870
24-07-10,RVMD,RevolutionMed,42.51,-1.41,-3.22%,4297,6509,64.09%,+755.98%,2615,1682,0.6432
24-07-10,SOUN,SoundhoundAi,5.03,+0.89,21.62%,182644,434125,25.95%,+696.77%,167057,15587,0.0933
24-07-10,LILM,LiliumN.V.,0.8976,+0.03,3.17%,4453,15858,24.38%,+636.03%,4377,76,0.0174
24-07-10,KBR,KBRInc,63.65,+1.10,1.77%,10132,37853,53.14%,+614.02%,10066,66,0.0066
24-07-10,MATX,MatsonInc,123.1,+1.21,0.99%,3019,7477,63.58%,+598.84%,3,3016,1005.3333
24-07-10,NGD,NewGoldInc,2.41,+0.16,7.11%,5648,54446,24.13%,+595.57%,5574,74,0.0133
24-07-10,SAN,BancoSantande,4.84,+0.13,2.65%,2251,14214,59.23%,+594.75%,2251,0,0.0000
24-07-10,BGC,BgcPartnersC,8.93,+0.22,2.47%,1855,16422,31.03%,+564.87%,1805,50,0.0277
24-07-10,HEAR,TurtleBeachC,14.04,+0.28,2.03%,6425,26971,32.06%,+554.94%,6395,30,0.0047
24-07-10,EXK,EndeavourSilv,4.57,+0.59,14.82%,15064,62234,47.05%,+542.39%,14752,312,0.0211
24-07-10,SGH,SmartGlobalH,29.17,+5.95,25.65%,23197,55180,30.87%,+519.41%,17276,5921,0.3427
24-07-10,HE,HawaiianElect,10.19,+1.62,18.90%,44659,79357,40.62%,+501.47%,28157,16502,0.5861
24-07-10,CP,CanadianPacif,80.77,+2.31,2.94%,12394,35873,46.29%,+466.45%,5224,7170,1.3725
24-07-10,GOTU,GaotuTechedu,5.26,-0.15,-2.77%,5364,43303,16.44%,+465.82%,5332,32,0.0060
24-07-10,BDX,BectonDickins,223.4,+1.93,0.87%,4812,20445,65.02%,+438.86%,840,3972,4.7286
24-07-10,CM,CanadianImper,48.9,+0.38,0.78%,3081,27282,5.25%,+427.57%,1528,1553,1.0164
24-07-10,HUBS,HubspotInc,492.9,-67.31,-12.02%,17325,43118,42.53%,+426.12%,14260,3065,0.2149
24-07-10,GPI,Group1Automo,281.18,+0.26,0.09%,3455,14597,72.99%,+403.64%,1715,1740,1.0146
24-07-10,PAGS,PagseguroDigi,12.9,+0.26,2.10%,3735,96287,8.59%,+383.18%,998,2737,2.7425
24-07-10,GRFS,GrifolsS.A.A,9,+0.63,7.57%,5194,65033,48.29%,+377.83%,4992,202,0.0405
24-07-10,NBR,NaborsIndustr,73.54,+0.86,1.19%,2690,12321,84.18%,+374.43%,294,2396,8.1497
24-07-10,CAPR,CapricorThera,4.59,+0.00,0.00%,2845,16156,29.18%,+369.47%,2177,668,0.3068
24-07-10,K,Kellanova,56.71,+0.34,0.59%,5345,65155,48.22%,+369.27%,4559,786,0.1724
24-07-10,EVGO,EvgoInc,3.27,+0.41,14.16%,6958,67298,82.62%,+362.33%,6567,391,0.0595
24-07-10,CHRW,C.H.Robinson,84.91,-1.64,-1.89%,7963,55210,54.44%,+357.12%,2808,5155,1.8358
24-07-10,CRBG,CorebridgeFin,29.82,+0.33,1.10%,24948,135672,37.85%,+343.13%,18305,6643,0.3629
24-07-10,SABR,SabreCorp,2.91,-0.04,-1.19%,8381,232746,60.34%,+342.27%,8160,221,0.0271
24-07-10,CFLT,ConfluentInc,26.18,-1.69,-6.06%,13084,152511,50.89%,+338.03%,11839,1245,0.1052
24-07-10,VET,VermilionEner,10.82,-0.20,-1.77%,3758,78322,42.55%,+328.02%,3584,174,0.0485
24-07-10,EXFY,ExpensifyInc,1.92,-0.08,-4.00%,2199,6776,30.40%,+313.35%,2048,151,0.0737
24-07-10,PEP,PepsicoInc,163.18,+1.28,0.79%,98532,255587,63.08%,+284.64%,52682,45850,0.8703
24-07-10,HA,HawaiianHlds,14.03,+0.23,1.70%,22816,213445,64.14%,+278.06%,15180,7636,0.5030
24-07-10,DAL,DeltaAirLine,46.72,-0.17,-0.37%,169688,781521,100.00%,+275.64%,111233,58455,0.5255
24-07-10,FIVN,Five9Inc,39.82,-1.99,-4.76%,3626,26387,62.03%,+274.20%,3382,244,0.0721
24-07-10,SGMO,SangamoTherap,0.3888,+0.04,11.09%,2108,23708,25.30%,+273.10%,2105,3,0.0014
24-07-10,BIDU,BaiduIncADR,97.86,+2.46,2.58%,227086,448063,38.73%,+269.58%,195675,31411,0.1605
24-07-10,HELE,HelenofTroy,62.15,-2.18,-3.38%,5923,19313,39.08%,+248.41%,2856,3067,1.0739
24-07-10,CBRE,CBREGroupInc,89.48,+0.71,0.80%,1848,11180,42.74%,+246.07%,1808,40,0.0221
24-07-10,ON,OnSemiconduct,76.17,+2.69,3.66%,57924,225135,63.12%,+241.77%,54023,3901,0.0722
24-07-10,EDU,NewOrientalE,79.99,-0.37,-0.46%,1833,12505,44.48%,+235.10%,1759,74,0.0421
24-07-10,URBN,UrbanOutfitte,44.24,+1.15,2.68%,6506,30031,23.09%,+234.33%,1224,5282,4.3154
24-07-10,DECK,DeckersOutdoo,886.5,-52.55,-5.60%,1899,11349,84.68%,+223.51%,1135,764,0.6731
24-07-10,SPHR,SphereEnterta,41.93,+2.22,5.59%,10867,55357,0.34%,+223.04%,10228,639,0.0625
24-07-10,MANU,ManchesterUni,16.78,+0.84,5.27%,2224,36232,4.94%,+221.85%,1382,842,0.6093
24-07-10,ST,SensataTechno,39.29,+0.72,1.87%,2124,19513,29.56%,+219.88%,2121,3,0.0014
24-07-10,FI,FiservInc,147.35,-3.74,-2.48%,3700,33823,64.25%,+206.04%,1978,1722,0.8706
24-07-10,BEEM,BeamGlobal,6.93,-0.73,-9.48%,2178,9180,65.47%,+205.47%,2109,69,0.0327
24-07-10,PGR,ProgressiveCo,209.79,+0.29,0.14%,6415,46429,92.09%,+203.88%,2008,4407,2.1947
24-07-10,UEC,UraniumEnergy,6.47,+0.46,7.66%,15644,200094,68.97%,+195.39%,14884,760,0.0511
24-07-10,HBM,HudbayMineral,9.23,-0.03,-0.32%,3100,40180,0.00%,+194.12%,3095,5,0.0016
24-07-10,ERIC,EricssonADR,6.42,+0.09,1.42%,2549,75839,54.13%,+194.00%,351,2198,6.2621
24-07-10,NEXT,NextdecadeCor,7.63,-0.11,-1.49%,3577,59747,41.95%,+179.67%,3409,168,0.0493
24-07-10,TOL,TollBrothers,113.07,+2.58,2.34%,12496,51136,36.25%,+175.36%,6411,6085,0.9491
24-07-10,MORF,MorphicHoldin,55.74,+0.07,0.13%,3577,18253,1.15%,+175.15%,267,3310,12.3970
24-07-10,DOCN,DigitaloceanH,31.27,-1.14,-3.52%,8273,109799,45.87%,+164.14%,7479,794,0.1062
24-07-10,PNC,PNCBank,163.43,+1.93,1.19%,9377,63493,42.31%,+158.46%,5541,3836,0.6923
24-07-10,NWL,NewellRubberm,5.69,-0.05,-0.85%,5276,93377,73.95%,+152.56%,4529,747,0.1649
24-07-10,HOLI,HollysysAutom,25.23,-0.03,-0.12%,1994,17244,38.18%,+150.50%,2,1992,996.0000
24-07-10,DUK,DukeEnergyCo,102.78,+1.83,1.82%,6394,103995,32.12%,+145.17%,5612,782,0.1393
24-07-10,UWMC,UwmHldgCorp,7.01,+0.15,2.26%,2237,68513,32.81%,+141.32%,795,1442,1.8138
24-07-10,MA,MastercardInc,430.59,-14.11,-3.17%,31148,155446,73.96%,+138.79%,14970,16178,1.0807
24-07-10,RF,RegionsFinanc,20.17,+0.06,0.32%,3995,86010,29.26%,+135.69%,2260,1735,0.7677
24-07-10,NOK,NokiaCorpADR,3.93,+0.08,1.94%,11114,293116,31.48%,+130.58%,10520,594,0.0565
24-07-10,TECK,TeckResources,49.29,+1.01,2.10%,12730,131589,37.08%,+129.70%,3554,9176,2.5819
24-07-10,CCJ,CamecoCorp,53.26,+4.27,8.72%,52673,326646,72.99%,+129.29%,34796,17877,0.5138
24-07-10,BROS,DutchBrosInc,39.61,-1.64,-3.98%,10327,65353,66.68%,+128.32%,7507,2820,0.3756
24-07-10,OHI,OmegaHealthca,33.92,+0.37,1.10%,4936,48388,55.34%,+126.94%,810,4126,5.0938
24-07-10,NFE,NewFortressE,19.42,+0.12,0.62%,11388,130298,92.78%,+123.03%,6428,4960,0.7716
24-07-10,TRU,Transunion,75.92,-0.41,-0.54%,2022,15619,65.35%,+122.44%,1978,44,0.0222
24-07-10,DASH,DoordashIncC,105.15,-3.80,-3.49%,32943,244293,94.12%,+122.32%,14363,18580,1.2936
24-07-10,LAZR,LuminarTechno,1.7248,+0.19,12.73%,7870,294440,3.32%,+121.82%,7011,859,0.1225
24-07-10,CLS,CelesticaInc,61.79,+2.53,4.27%,8063,83070,56.67%,+121.33%,7304,759,0.1039
24-07-10,DT,DynatraceInc,42.86,-0.32,-0.74%,3579,66176,63.92%,+121.06%,3460,119,0.0344
24-07-10,MTDR,MatadorResour,59.98,+1.44,2.46%,3125,58324,25.65%,+114.78%,2586,539,0.2084
24-07-10,EA,ElectronicArt,143.52,+2.94,2.09%,7248,70921,76.35%,+114.18%,6070,1178,0.1941
24-07-10,ICE,Intercontinent,144.04,+1.58,1.11%,2960,45535,25.76%,+112.95%,2367,593,0.2505
24-07-10,DQ,DaqoNewEnerg,15.61,+0.13,0.84%,3099,38871,77.01%,+112.55%,2903,196,0.0675
24-07-10,CMA,ComericaInc,52.24,+1.14,2.24%,13721,120337,21.95%,+112.14%,11078,2643,0.2386
24-07-10,DHI,D.R.Horton,139.56,+3.56,2.62%,10906,68655,71.73%,+111.60%,5971,4935,0.8265
24-07-10,UUUU,EnergyFuelsI,6.49,+0.39,6.49%,4428,109908,40.58%,+110.36%,4184,244,0.0583
24-07-10,NEM,NewmontMining,45.48,+1.59,3.62%,56129,858222,55.91%,+109.58%,34121,22008,0.6450
24-07-10,FL,FootlockerInc,23.58,+0.11,0.45%,9448,142300,12.05%,+105.75%,8805,643,0.0730
24-07-10,GLW,CorningInc,45.6,+0.93,2.08%,55411,309232,94.72%,+102.88%,44902,10509,0.2340
24-07-10,EQX,EquinoxGoldC,5.88,+0.07,1.20%,2619,148255,10.41%,+100.84%,2465,154,0.0625
24-07-10,WPM,WheatonPrecio,58.12,+2.05,3.65%,5709,78728,65.42%,+100.46%,4331,1378,0.3182
24-07-10,DDD,3DSystemsCor,3.43,+0.01,0.18%,2579,87454,82.77%,+100.23%,1713,866,0.5055
24-07-10,OPEN,OpendoorTechn,1.865,-0.04,-1.84%,19697,366356,54.05%,+99.75%,18222,1475,0.0809
24-07-10,TME,TencentMusic,15.09,-0.19,-1.21%,3793,131574,45.43%,+97.86%,3678,115,0.0313
24-07-10,BTDR,BitdeerTechno,10.85,-0.36,-3.21%,5022,29592,34.77%,+95.94%,773,4249,5.4968
24-07-10,CRWD,CrowdstrikeHo,371.85,-14.03,-3.64%,85881,313075,14.99%,+93.23%,59066,26815,0.4540
24-07-10,CLMT,CalumetSpecia,17.1,+0.96,5.95%,4374,91654,89.54%,+90.59%,3726,648,0.1739
24-07-10,DNN,DenisonMines,2.22,+0.16,8.01%,8269,319951,49.38%,+88.53%,8052,217,0.0269
24-07-10,FTAI,FtaiAviation,95.86,-8.39,-8.04%,9524,75324,92.77%,+86.75%,6450,3074,0.4766
24-07-10,DOCU,DocusignInc,53.37,+1.46,2.80%,16319,143878,5.56%,+85.04%,14473,1846,0.1275
24-07-10,IONQ,IonqInc,8.41,+0.48,6.05%,11210,151036,27.09%,+83.35%,10071,1139,0.1131
24-07-10,CAVA,CavaGroupInc,86.61,-3.63,-4.02%,45053,172363,24.93%,+82.20%,31026,14027,0.4521
24-07-10,UBER,UberTechnolog,69.29,-2.03,-2.85%,128174,1140303,74.92%,+82.16%,82531,45643,0.5530
24-07-10,SONY,SonyGroupCor,92.64,+2.20,2.43%,4193,53510,64.85%,+81.59%,3531,662,0.1875
24-07-10,UL,UnileverPlcA,56.49,+0.94,1.69%,1851,51753,57.43%,+80.59%,1266,585,0.4621
24-07-10,NN,NextnavInc,8.49,+0.34,4.17%,2255,91498,58.61%,+78.40%,2255,0,0.0000
24-07-10,STT,StateStreetC,75.21,+0.79,1.06%,2015,43145,45.50%,+77.53%,708,1307,1.8460
24-07-10,CVNA,CarvanaCompan,128.78,+3.08,2.45%,121310,474530,30.04%,+69.15%,98039,23271,0.2374
24-07-10,VOD,VodafoneGrpP,9.3,+0.19,2.03%,4726,177766,44.47%,+66.23%,2393,2333,0.9749
24-07-10,MCHP,MicrochipTech,95.68,+3.34,3.61%,4801,136238,47.84%,+66.01%,3784,1017,0.2688
24-07-10,TDOC,TeladocHealth,8.85,-0.30,-3.28%,17788,199559,79.45%,+64.38%,9305,8483,0.9117
24-07-10,ERJ,Embraer-Empres,29.3,+0.58,2.02%,2751,52426,79.80%,+63.65%,2354,397,0.1686
24-07-10,KGC,KinrossGoldC,8.9,+0.31,3.61%,11242,221345,5.95%,+63.26%,9810,1432,0.1460
24-07-10,HLF,HerbalifeLtd,9.84,+0.09,0.92%,5104,160115,69.65%,+62.76%,1941,3163,1.6296
