Report Date,Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility,Delta
07/25/2024,2024-07-2510:02 EST,ROL,47.73,Call,50,894,2024-08-16,22,0.3,0.38,0.45,0.4,572,1.56,0.2632,0.231037
07/25/2024,2024-07-2510:02 EST,ROL,47.73,Put,47.5,589,2024-08-16,22,1.05,1.2,1.35,1.1,180,3.27,0.2439,-0.480756
07/25/2024,2024-07-2510:02 EST,CMG,50.7,Call,52,2727,2024-08-30,36,2.05,2.13,2.2,2.05,337,8.09,0.3676,0.478664
07/25/2024,2024-07-2510:02 EST,AMD,139.85,Call,145,28844,2024-07-26,1,0.63,0.64,0.64,0.64,4735,6.09,0.837,0.193329
07/25/2024,2024-07-2510:02 EST,AMD,139.85,Put,140,38140,2024-07-26,1,2.74,2.75,2.75,2.75,10425,3.66,0.8484,-0.525442
07/25/2024,2024-07-2510:02 EST,AMD,139.85,Put,135,17611,2024-07-26,1,0.93,0.94,0.95,0.95,3913,4.5,0.9058,-0.238665
07/25/2024,2024-07-2510:02 EST,AAPL,215,Call,222.5,15554,2024-07-26,1,0.18,0.19,0.19,0.19,12439,1.25,0.4261,0.086562
07/25/2024,2024-07-2510:02 EST,AAPL,215,Call,220,22857,2024-07-26,1,0.47,0.48,0.49,0.49,16406,1.39,0.4169,0.1908
07/25/2024,2024-07-2510:02 EST,AAPL,215,Put,212.5,9375,2024-07-26,1,0.73,0.75,0.76,0.75,5443,1.72,0.4412,-0.249535
07/25/2024,2024-07-2510:02 EST,ARM,145.5,Call,155,1520,2024-07-26,1,0.4,0.43,0.46,0.44,190,8,1.2177,0.104006
07/25/2024,2024-07-2510:02 EST,ARM,145.5,Put,150,4556,2024-07-26,1,8.05,8.25,8.45,8.15,2356,1.93,1.0979,-0.797785
07/25/2024,2024-07-2510:02 EST,AMZN,178.29,Put,155,1413,2024-08-02,8,0.82,0.85,0.87,0.87,1032,1.37,0.7493,-0.090409
07/25/2024,2024-07-2510:02 EST,AMZN,178.29,Call,182.5,8782,2024-07-26,1,0.49,0.5,0.51,0.5,6281,1.4,0.4887,0.198837
07/25/2024,2024-07-2510:02 EST,AMZN,178.29,Put,177.5,6926,2024-07-26,1,1.34,1.35,1.36,1.36,5186,1.34,0.4925,-0.406009
07/25/2024,2024-07-2510:02 EST,AAPL,215,Call,217.5,11027,2024-07-26,1,1.15,1.16,1.17,1.16,3962,2.78,0.4187,0.363349
07/25/2024,2024-07-2510:02 EST,ARM,145.5,Call,150,1093,2024-07-26,1,1.1,1.16,1.22,1.19,347,3.15,1.2274,0.230191
07/25/2024,2024-07-2510:02 EST,AMZN,178.29,Call,180,5591,2024-07-26,1,1.2,1.22,1.24,1.24,4358,1.28,0.5029,0.383177
07/25/2024,2024-07-2510:02 EST,AMD,139.85,Call,140,3273,2024-07-26,1,2.14,2.16,2.17,2.18,748,4.38,0.8263,0.473681
07/25/2024,2024-07-2510:02 EST,AAPL,215,Put,215,25972,2024-07-26,1,1.46,1.47,1.48,1.5,12630,2.06,0.4083,-0.428161
07/25/2024,2024-07-2510:02 EST,CMG,50.7,Call,51,1952,2024-07-26,1,1,1.05,1.1,1.05,256,7.63,0.9536,0.520513
07/25/2024,2024-07-2510:02 EST,AAPL,215,Put,217.5,16711,2024-07-26,1,2.71,2.74,2.77,2.72,10532,1.59,0.3822,-0.650589
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Call,230,31720,2024-07-26,1,0.96,0.98,0.99,0.96,19463,1.63,0.857,0.18203
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Call,227.5,14913,2024-07-26,1,1.43,1.44,1.46,1.45,5820,2.56,0.8519,0.251979
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Call,225,52917,2024-07-26,1,2.11,2.13,2.15,2.14,18143,2.92,0.8505,0.336803
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Call,222.5,25482,2024-07-26,1,3,3.05,3.1,3.05,8597,2.96,0.8489,0.432265
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Call,220,37339,2024-07-26,1,4.2,4.25,4.3,4.25,16151,2.31,0.8571,0.533223
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Put,215,48752,2024-07-26,1,1.73,1.74,1.75,1.75,21094,2.31,0.8647,-0.277367
07/25/2024,2024-07-2510:02 EST,F,11.31,Put,11,4313,2024-08-02,8,0.17,0.18,0.18,0.18,353,12.22,0.4912,-0.321896
07/25/2024,2024-07-2510:02 EST,F,11.31,Put,11.5,18193,2024-07-26,1,0.29,0.3,0.31,0.3,6175,2.95,0.896,-0.604764
07/25/2024,2024-07-2510:02 EST,F,11.31,Call,11.5,8569,2024-07-26,1,0.17,0.18,0.18,0.17,870,9.85,1.0046,0.408318
07/25/2024,2024-07-2510:02 EST,DASH,99.78,Put,98,551,2024-07-26,1,1.56,1.93,2.29,2.01,415,1.33,1.4616,-0.365982
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Put,220,35892,2024-07-26,1,3.5,3.55,3.6,3.58,25307,1.42,0.8419,-0.466728
07/25/2024,2024-07-2510:02 EST,IBM,191.57,Call,195,610,2024-08-02,8,1.81,1.96,2.1,1.98,470,1.3,0.2784,0.37101
07/25/2024,2024-07-2510:02 EST,IBM,191.57,Call,195,7394,2024-07-26,1,0.9,0.93,0.96,0.93,1932,3.83,0.5069,0.293656
07/25/2024,2024-07-2510:02 EST,DELL,111.94,Put,110,1194,2024-07-26,1,1.1,1.15,1.2,1.1,826,1.45,0.7604,-0.357227
07/25/2024,2024-07-2510:02 EST,TSM,155.84,Call,155,669,2024-08-02,8,5,5.08,5.15,5.07,254,2.63,0.5052,0.544026
07/25/2024,2024-07-2510:02 EST,TSLA,220.76,Call,232.5,8976,2024-07-26,1,0.63,0.64,0.65,0.63,5157,1.74,0.8676,0.128374
07/25/2024,2024-07-2510:02 EST,SMCI,684.2,Put,600,1173,2024-08-02,8,5.5,5.75,6,5.75,630,1.86,0.826,-0.130198
