Report Date,Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility,Delta
24-07-11,2024-07-1016:00 EST,CVX,155.13,Call,157.5,9599,2024-07-12,2,0.22,0.24,0.26,0.26,5913,1.62,0.2256,0.185084
24-07-11,2024-07-1015:59 EST,XOM,111.92,Call,112,3389,2024-07-12,2,0.68,0.72,0.75,0.73,1401,2.42,0.2279,0.493398
24-07-11,2024-07-1015:59 EST,WMT,70.41,Call,75,10127,2024-09-20,72,0.89,0.9,0.91,0.91,7634,1.33,0.1819,0.271732
24-07-11,2024-07-1015:59 EST,WMT,70.41,Call,70,7766,2024-07-12,2,0.6,0.62,0.64,0.62,3970,1.96,0.1761,0.683331
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,260,1365,2024-08-02,23,16.9,17,17.1,17,796,1.71,0.7251,-0.430943
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,267.5,1661,2024-07-26,16,15.9,16.03,16.15,16.03,251,6.62,0.804,0.501262
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,262.5,1703,2024-07-26,16,18,18.18,18.35,18.23,458,3.72,0.8005,0.545794
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,260,1742,2024-07-26,16,15.35,15.45,15.55,15.42,1382,1.26,0.7912,-0.432834
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,315,3697,2024-07-19,9,0.72,0.73,0.73,0.73,1330,2.78,0.7061,0.060451
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,300,133441,2024-07-19,9,1.52,1.53,1.54,1.53,38721,3.45,0.6664,0.118283
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,290,6452,2024-07-19,9,2.52,2.55,2.58,2.55,5220,1.24,0.6408,0.184569
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,287.5,1659,2024-07-19,9,2.89,2.92,2.94,2.91,883,1.88,0.6354,0.206174
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,280,18014,2024-07-19,9,4.25,4.28,4.3,4.31,9660,1.86,0.6174,0.283011
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,277.5,4901,2024-07-19,9,4.85,4.9,4.95,4.91,1526,3.21,0.6154,0.314446
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,272.5,6346,2024-07-19,9,6.2,6.25,6.3,6.3,2892,2.19,0.6042,0.3812
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,270,31096,2024-07-19,9,7.05,7.13,7.2,7.15,13393,2.32,0.6006,0.418019
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,265,12291,2024-07-19,9,10.4,10.5,10.6,10.5,2212,5.56,0.5907,-0.505504
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,265,34082,2024-07-19,9,9.1,9.15,9.2,9.15,8163,4.18,0.5947,0.496116
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,257.5,6823,2024-07-19,9,6.7,6.75,6.8,6.76,2721,2.51,0.582,-0.382163
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,255,15218,2024-07-19,9,5.7,5.78,5.85,5.75,7909,1.92,0.5808,-0.341846
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,250,21565,2024-07-19,9,4.05,4.1,4.15,4.1,7544,2.86,0.5828,-0.266606
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,240,13426,2024-07-19,9,1.96,1.98,1.99,1.98,10772,1.25,0.5989,-0.148386
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,290,41483,2024-07-12,2,0.33,0.34,0.35,0.34,12481,3.32,0.7928,0.053256
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,285,22962,2024-07-12,2,0.56,0.58,0.59,0.58,9488,2.42,0.7671,0.086292
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,282.5,14373,2024-07-12,2,0.74,0.76,0.78,0.75,4579,3.14,0.7523,0.108671
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,280,67516,2024-07-12,2,0.97,0.99,1,0.99,26872,2.51,0.7422,0.138007
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,277.5,13744,2024-07-12,2,1.27,1.3,1.33,1.3,3671,3.74,0.7322,0.173736
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,275,101197,2024-07-12,2,1.67,1.7,1.73,1.73,16057,6.3,0.7281,0.218509
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,270,13189,2024-07-12,2,9.4,9.5,9.6,9.5,6820,1.93,0.7032,-0.675785
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,270,128638,2024-07-12,2,2.81,2.85,2.89,2.89,20402,6.31,0.7117,0.327063
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Put,265,41506,2024-07-12,2,6.15,6.23,6.3,6.25,3374,12.3,0.689,-0.539521
24-07-11,2024-07-1015:59 EST,TSLA,263.26,Call,265,127545,2024-07-12,2,4.55,4.63,4.7,4.65,13929,9.16,0.6978,0.461734
