Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-23,RS,RelianceInc,300.42,-2.29,-0.75%,6464,5612,74.80%,+1468.93%,57,6407,112.4035
24-07-23,FTV,FortiveCorp,76.62,+0.00,0.00%,2618,5840,81.68%,+1449.11%,104,2514,24.1731
24-07-23,PRG,ProgHldgsInc,34.72,+0.25,0.74%,4022,1982,48.17%,+1441.00%,4020,2,0.0005
24-07-23,IVZ,InvescoPlc,16.76,+0.27,1.67%,34199,73862,29.68%,+1349.11%,1878,32321,17.2103
24-07-23,AHCO,AdapthealthCo,11.43,+0.32,2.93%,31565,58582,39.21%,+1288.69%,30923,642,0.0208
24-07-23,TUSK,MammothEnergy,4.23,+0.73,20.86%,3556,1448,22.45%,+1207.35%,3419,137,0.0401
24-07-23,RJF,RaymondJames,111.36,+1.38,1.25%,16556,13147,75.67%,+1007.42%,1332,15224,11.4294
24-07-23,CRI,CarteInc,60.85,-0.90,-1.47%,3528,6235,78.15%,+891.01%,31,3497,112.8065
24-07-23,SMAR,SmartsheetInc,48.83,+0.28,0.58%,9729,21623,20.60%,+877.79%,9571,158,0.0165
24-07-23,SMSI,SmithMicroSo,2.4,+0.13,5.73%,2032,6843,0.00%,+858.49%,2032,0,0.0000
24-07-23,PI,ImpinjInc,165.26,-16.24,-8.95%,2052,2631,80.13%,+820.18%,601,1451,2.4143
24-07-23,MAX,MediaalphaInc,15,+0.47,3.23%,5680,1765,46.41%,+783.36%,5677,3,0.0005
24-07-23,GENI,GeniusSports,6.7,+0.38,6.01%,10522,27733,58.97%,+780.50%,10353,169,0.0163
24-07-23,OMER,OmerosCorp,5.28,+0.18,3.53%,3211,22542,19.00%,+681.27%,84,3127,37.2262
24-07-23,DT,DynatraceInc,44.39,+0.24,0.55%,13690,63501,82.25%,+613.02%,13627,63,0.0046
24-07-23,ZETA,ZetaGlobalHo,21.3,+0.25,1.21%,12139,16241,68.78%,+571.78%,3960,8179,2.0654
24-07-23,APLT,AppliedTherap,5.27,+0.18,3.54%,2291,9526,19.42%,+562.14%,2251,40,0.0178
24-07-23,ATNM,ActiniumPharm,8.17,+0.85,11.57%,2112,6582,48.04%,+538.07%,2056,56,0.0272
24-07-23,NXPI,NxpSemiconduc,257.77,-26.04,-9.17%,26243,65460,47.18%,+526.32%,9613,16630,1.7299
24-07-23,DLR,DigitalRealty,155.55,-0.01,-0.01%,15204,48790,43.10%,+494.60%,14710,494,0.0336
24-07-23,PNR,PentairLtd,87.05,+7.06,8.83%,8140,18086,26.23%,+478.95%,7926,214,0.0270
24-07-23,PRIM,PrimorisServi,55.77,+0.77,1.40%,3104,3573,50.55%,+475.88%,552,2552,4.6232
