Report Date,Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
24-07-25,2024-07-2510:06 EST,SIRI,3.99,Put,3.5,527,2024-08-16,22,0.4,0.43,0.45,0.45,50215,0.01,186.22%
24-07-25,2024-07-2510:12 EST,SGMO,0.5918,Call,0.5,687,2024-08-16,22,0.1,0.13,0.15,0.1,7505,0.09,178.72%
24-07-25,2024-07-2510:06 EST,LPSN,1.18,Call,2,830,2024-10-18,85,0.2,0.23,0.25,0.25,3286,0.25,170.06%
24-07-25,2024-07-2510:09 EST,ANY,1.05,Call,4,500,2025-01-17,176,0.05,0.1,0.15,0.1,3600,0.14,155.28%
24-07-25,2024-07-2510:12 EST,MARA,20.98,Call,40,841,2024-08-16,22,0.12,0.14,0.15,0.12,9377,0.09,149.17%
24-07-25,2024-07-2510:16 EST,CIFR,5.66,Call,10,541,2024-09-20,57,0.25,0.28,0.3,0.3,16506,0.03,141.11%
24-07-25,2024-07-2510:16 EST,AMC,4.97,Call,27,665,2025-01-17,176,0.16,0.17,0.18,0.18,91214,0.01,140.55%
24-07-25,2024-07-2510:15 EST,IREN,10.08,Call,15,501,2024-09-20,57,0.7,0.77,0.85,0.8,13648,0.04,139.56%
24-07-25,2024-07-2510:16 EST,CLSK,16.45,Call,35,1087,2024-09-20,57,0.4,0.43,0.45,0.44,3974,0.27,139.39%
24-07-25,2024-07-2510:14 EST,SMR,10.1,Put,10,1946,2024-08-16,22,1.3,1.38,1.45,1.43,8912,0.22,135.43%
24-07-25,2024-07-2510:03 EST,IREN,10.08,Put,7.5,7501,2024-08-16,22,0.25,0.3,0.35,0.35,14961,0.5,134.44%
24-07-25,2024-07-2510:10 EST,IREN,10.08,Call,12.5,822,2024-11-15,113,1.8,2.03,2.25,1.75,8746,0.09,133.82%
24-07-25,2024-07-2510:16 EST,CLSK,16.45,Call,30,1326,2024-09-20,57,0.63,0.67,0.7,0.63,8103,0.16,132.98%
24-07-25,2024-07-2510:16 EST,AMC,4.97,Call,6,887,2024-08-09,15,0.2,0.21,0.21,0.2,6447,0.14,127.69%
24-07-25,2024-07-2510:13 EST,LCID,3.51,Put,5,656,2024-11-15,113,2.08,2.09,2.11,2.1,316,2.08,127.09%
24-07-25,2024-07-2510:16 EST,CLSK,16.45,Call,25,664,2024-09-20,57,0.95,0.99,1.02,0.99,14024,0.05,126.56%
24-07-25,2024-07-2510:02 EST,BTBT,3.7,Call,10,648,2025-01-17,176,0.3,0.32,0.35,0.31,14551,0.04,126.51%
24-07-25,2024-07-2510:15 EST,ASTS,14.97,Put,12.5,557,2024-08-16,22,0.7,0.75,0.8,0.75,1458,0.38,126.14%
24-07-25,2024-07-2510:14 EST,IREN,10.08,Call,11.5,1636,2024-08-23,29,0.75,0.83,0.9,0.75,1748,0.94,125.48%
24-07-25,2024-07-2510:16 EST,AMC,4.97,Call,6.5,674,2024-08-16,22,0.19,0.2,0.2,0.19,1631,0.41,125.08%
24-07-25,2024-07-2510:16 EST,ASTS,14.97,Call,15,1076,2024-08-16,22,1.7,1.75,1.8,1.65,7717,0.14,124.42%
24-07-25,2024-07-2509:56 EST,ASTS,14.97,Put,12,500,2024-08-23,29,0.65,0.7,0.75,0.75,578,0.87,123.47%
24-07-25,2024-07-2510:08 EST,ENVX,14.79,Call,17,655,2024-08-16,22,0.81,0.93,1.05,0.89,3880,0.17,123.02%
24-07-25,2024-07-2510:07 EST,IREN,10.08,Call,15,1266,2025-01-17,176,1.9,1.97,2.05,1.95,17095,0.07,122.57%
24-07-25,2024-07-2510:15 EST,CLSK,16.45,Call,20,532,2024-09-20,57,1.6,1.69,1.77,1.76,12366,0.04,121.83%
24-07-25,2024-07-2510:13 EST,MARA,20.98,Call,23,588,2024-08-09,15,0.91,0.95,0.98,0.9,2531,0.23,120.19%
24-07-25,2024-07-2510:05 EST,LCID,3.51,Put,4,796,2024-09-20,57,1.03,1.04,1.05,1.04,13523,0.06,119.44%
24-07-25,2024-07-2510:03 EST,LCID,3.51,Put,3,2004,2024-09-20,57,0.39,0.41,0.43,0.42,23803,0.08,118.68%
24-07-25,2024-07-2510:13 EST,MARA,20.98,Call,30,1013,2024-09-20,57,1.21,1.23,1.26,1.22,41862,0.02,117.18%
24-07-25,2024-07-2510:08 EST,AMC,4.97,Call,6,631,2024-08-16,22,0.22,0.25,0.27,0.21,18681,0.03,115.92%
24-07-25,2024-07-2510:16 EST,AMC,4.97,Call,5.5,508,2024-08-09,15,0.27,0.28,0.29,0.28,5001,0.1,115.80%
24-07-25,2024-07-2510:12 EST,SNAP,13.28,Call,16,3529,2024-08-16,22,0.56,0.57,0.58,0.58,21981,0.16,114.87%
24-07-25,2024-07-2510:15 EST,BITF,2.66,Call,3,514,2025-01-17,176,0.65,0.7,0.75,0.65,17717,0.03,112.18%
24-07-25,2024-07-2510:03 EST,FCEL,0.5222,Put,0.5,950,2024-10-18,85,0.1,0.11,0.11,0.1,1535,0.62,111.93%
24-07-25,2024-07-2510:13 EST,MARA,20.98,Call,25,709,2024-09-20,57,1.94,1.96,1.99,1.93,14291,0.05,111.15%
24-07-25,2024-07-2509:56 EST,RDDT,61.04,Put,40,743,2024-08-16,22,0.31,0.38,0.45,0.3,8566,0.09,110.73%
24-07-25,2024-07-2510:14 EST,GME,24.07,Call,30,1063,2024-08-09,15,0.41,0.43,0.45,0.41,3161,0.34,110.72%
