Report Date,Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,350,105886,2024-11-22,4,4.6,4.65,4.7,4.64,20837,5.08,81.26%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,360,84548,2024-11-22,4,2.83,2.84,2.84,2.84,40088,2.11,83.58%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,150,73847,2024-11-22,4,2.74,2.75,2.75,2.72,166822,0.44,109.95%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,140,57023,2024-11-22,4,6.15,6.18,6.2,6.13,28822,1.98,107.77%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,365,56494,2024-11-22,4,2.23,2.25,2.27,2.27,4662,12.12,85.50%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,340,55033,2024-11-22,4,7.4,7.45,7.5,7.49,10391,5.3,79.56%
11/18/2024,2024-11-1814:22 EST,RIVN,10.15,Call,11,54886,2024-11-22,4,0.1,0.11,0.11,0.1,7826,7.01,90.84%
11/18/2024,2024-11-1814:22 EST,AAPL,228.96,Call,230,53745,2024-11-22,4,1.62,1.64,1.65,1.65,14882,3.61,22.67%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Call,65,50387,2024-11-22,4,0.73,0.74,0.75,0.74,16154,3.12,81.92%
11/18/2024,2024-11-1814:22 EST,WMT,84.11,Call,95,49544,2025-01-17,60,0.55,0.56,0.57,0.57,29291,1.69,25.45%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,345,47516,2024-11-22,4,5.9,5.95,6,6,5767,8.24,81.03%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,330,45846,2024-11-22,4,11.6,11.65,11.7,11.6,38444,1.19,77.71%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,370,43083,2024-12-13,25,9.9,9.98,10.05,10,809,53.25,66.39%
11/18/2024,2024-11-1814:22 EST,AFRM,61.17,Call,65,40753,2024-11-22,4,0.99,1.02,1.04,1.02,1504,27.1,94.55%
11/18/2024,2024-11-1814:23 EST,NVDA,140.12,Call,160,40151,2024-11-22,4,1.12,1.13,1.13,1.12,53762,0.75,113.21%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,400,40009,2024-11-22,4,0.48,0.49,0.5,0.48,16590,2.41,97.28%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,145,39117,2024-11-22,4,4.15,4.18,4.2,4.2,51776,0.76,109.12%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Put,60,38674,2024-11-22,4,1.45,1.46,1.46,1.45,15125,2.56,76.92%
11/18/2024,2024-11-1814:19 EST,WMT,84.11,Call,90,36938,2025-01-17,60,1.35,1.36,1.37,1.36,39670,0.93,24.72%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Put,300,36801,2024-11-22,4,1.41,1.42,1.44,1.43,15225,2.42,79.15%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,405,36636,2024-11-22,4,0.4,0.41,0.42,0.4,2852,12.85,99.34%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Put,340,36381,2024-11-22,4,15.55,15.6,15.65,15.65,2503,14.53,78.44%
11/18/2024,2024-11-1814:22 EST,AAPL,228.96,Call,232.5,36310,2024-11-22,4,0.78,0.79,0.79,0.78,24723,1.47,22.02%
11/18/2024,2024-11-1814:22 EST,SMCI,23.13,Call,25,35301,2024-11-22,4,1.76,1.78,1.79,1.79,12637,2.79,273.15%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,155,34304,2024-11-22,4,1.76,1.77,1.77,1.74,135759,0.25,111.45%
11/18/2024,2024-11-1814:22 EST,PLUG,1.975,Call,2,33771,2024-12-20,32,0.21,0.23,0.25,0.24,5099,6.62,108.81%
11/18/2024,2024-11-1814:22 EST,PLUG,1.975,Put,2,32451,2024-12-20,32,0.23,0.24,0.25,0.23,13079,2.48,92.59%
11/18/2024,2024-11-1814:21 EST,NKLA,1.97,Put,2,32080,2024-12-06,18,0.54,0.55,0.56,0.56,120,267.33,320.14%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Put,320,31517,2024-11-22,4,5.5,5.55,5.6,5.55,6982,4.51,76.19%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Put,330,31311,2024-11-22,4,9.75,9.8,9.85,9.85,3933,7.96,77.28%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Call,60,30609,2024-11-22,4,2.53,2.54,2.54,2.53,6436,4.76,76.76%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Call,62,30354,2024-11-22,4,1.57,1.58,1.59,1.59,3697,8.21,78.43%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Put,59,30226,2024-11-22,4,1.07,1.08,1.09,1.07,16164,1.87,77.25%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,370,28711,2024-11-22,4,1.75,1.77,1.78,1.78,10371,2.77,86.87%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Put,62,28452,2024-11-22,4,2.49,2.5,2.5,2.5,8072,3.52,78.18%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Put,125,28269,2024-11-22,4,1.39,1.4,1.4,1.41,36757,0.77,111.54%
11/18/2024,2024-11-1814:21 EST,PLTR,61.06,Call,70,28212,2024-11-22,4,0.22,0.23,0.23,0.22,17498,1.61,91.65%
11/18/2024,2024-11-1814:22 EST,AAPL,228.96,Call,227.5,27816,2024-11-22,4,2.92,2.96,3,2.97,12751,2.18,23.33%
11/18/2024,2024-11-1814:21 EST,PINS,28.89,Call,40,27751,2025-01-17,60,0.1,0.11,0.12,0.11,14216,1.95,45.76%
11/18/2024,2024-11-1814:22 EST,AMD,139.82,Call,140,27598,2024-11-22,4,2.71,2.73,2.74,2.72,4871,5.67,49.04%
11/18/2024,2024-11-1814:22 EST,AAPL,228.96,Call,235,26809,2024-12-20,32,3,3.03,3.05,3.01,37028,0.72,19.26%
11/18/2024,2024-11-1814:19 EST,UUUU,7.16,Call,9,26386,2024-12-20,32,0.1,0.13,0.15,0.15,325,81.19,76.30%
11/18/2024,2024-11-1814:22 EST,AMZN,201.9,Call,205,26005,2024-11-22,4,1.26,1.27,1.28,1.28,11170,2.33,32.53%
11/18/2024,2024-11-1814:23 EST,NVDA,140.12,Put,130,25933,2024-11-22,4,2.43,2.44,2.45,2.45,31030,0.84,109.05%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Put,110,25823,2024-12-20,32,0.91,0.92,0.92,0.92,71858,0.36,60.95%
11/18/2024,2024-11-1814:18 EST,NIO,4.65,Call,5,25788,2025-01-17,60,0.49,0.5,0.5,0.5,53933,0.48,81.94%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,342.5,25477,2024-11-22,4,6.6,6.65,6.7,6.79,1970,12.93,79.85%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,165,25352,2024-11-22,4,0.7,0.71,0.72,0.71,37978,0.67,115.34%
11/18/2024,2024-11-1813:07 EST,TMC,0.969,Put,1,25165,2025-02-21,95,0.15,0.2,0.25,0.2,121,207.98,100.52%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,400,25050,2024-12-20,32,6.8,6.85,6.9,6.8,36080,0.69,66.69%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Put,135,24939,2024-11-22,4,4.1,4.13,4.15,4.15,31059,0.8,108.94%
11/18/2024,2024-11-1814:21 EST,TSLA,332.22,Call,360,24691,2024-12-13,25,12.3,12.38,12.45,12.4,3132,7.88,65.57%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,380,24678,2024-11-22,4,1.09,1.11,1.12,1.12,7718,3.2,90.11%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Put,140,24525,2024-11-22,4,6.4,6.45,6.5,6.5,28924,0.85,109.33%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,138,24192,2024-11-22,4,7.15,7.18,7.2,7.11,4876,4.96,107.89%
11/18/2024,2024-11-1814:22 EST,AAPL,228.96,Call,235,23997,2024-11-22,4,0.32,0.33,0.33,0.33,10487,2.29,21.95%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Call,63,23683,2024-11-22,4,1.23,1.24,1.25,1.23,3597,6.58,79.03%
11/18/2024,2024-11-1814:21 EST,WMT,84.11,Call,86.67,23552,2025-01-17,60,2.35,2.37,2.39,2.38,26134,0.9,24.75%
11/18/2024,2024-11-1814:23 EST,NVDA,140.12,Call,139,23158,2024-11-22,4,6.6,6.65,6.7,6.65,3132,7.39,107.62%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,400,22978,2024-11-29,11,1.75,1.76,1.77,1.77,12512,1.84,76.63%
11/18/2024,2024-11-1814:22 EST,AAPL,228.96,Put,225,22694,2024-11-22,4,0.79,0.8,0.8,0.79,6805,3.33,23.23%
11/18/2024,2024-11-1814:20 EST,NVDA,140.12,Call,150,22175,2024-12-20,32,5.55,5.57,5.6,5.55,97781,0.23,56.48%
11/18/2024,2024-11-1814:20 EST,PLTR,61.06,Put,50,21641,2024-12-20,32,0.69,0.71,0.72,0.71,34317,0.63,62.82%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,350,21506,2024-11-29,11,8.25,8.3,8.35,8.35,8936,2.41,66.77%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Call,61,20525,2024-11-22,4,1.99,2.01,2.02,2.01,2435,8.43,77.22%
11/18/2024,2024-11-1814:22 EST,AMZN,201.9,Call,210,20522,2024-11-22,4,0.38,0.39,0.39,0.39,19436,1.06,33.42%
11/18/2024,2024-11-1814:16 EST,CVS,56.16,Call,65,20387,2025-02-21,95,1.02,1.04,1.05,1.03,4956,4.11,32.50%
11/18/2024,2024-11-1814:21 EST,NIO,4.65,Call,5,20326,2024-11-22,4,0.15,0.16,0.16,0.15,14207,1.43,140.99%
11/18/2024,2024-11-1814:19 EST,WSC,35.19,Call,37.5,20274,2025-04-17,150,3.3,3.4,3.5,3.5,127,159.64,46.97%
11/18/2024,2024-11-1814:20 EST,CCJ,56.02,Call,61,20217,2024-11-22,4,0.14,0.15,0.16,0.14,586,34.5,58.40%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Put,310,20089,2024-11-22,4,2.87,2.89,2.9,2.9,7241,2.77,77.03%
11/18/2024,2024-11-1814:22 EST,NVDA,140.12,Call,141,19623,2024-11-22,4,5.7,5.73,5.75,5.65,5550,3.54,107.93%
11/18/2024,2024-11-1814:22 EST,TSLA,332.22,Call,350,19535,2024-12-20,32,17.4,17.48,17.55,17.5,25211,0.77,62.59%
11/18/2024,2024-11-1814:22 EST,PLTR,61.06,Call,64,19075,2024-11-22,4,0.95,0.96,0.97,0.95,4738,4.03,80.16%
