Report Date,Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
24-07-23,2024-07-2314:11 EST,NVDA,122.32,Call,125,108050,2024-07-26,3,1.31,1.32,1.32,1.32,53091,2.04,49.36%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Put,120,91738,2024-07-26,3,1.02,1.03,1.04,1.03,32849,2.79,49.64%
24-07-23,2024-07-2314:11 EST,AMZN,187.27,Call,190,82654,2024-07-26,3,1.24,1.25,1.26,1.25,27946,2.96,35.42%
24-07-23,2024-07-2314:11 EST,NVDA,122.32,Call,124,76244,2024-07-26,3,1.71,1.71,1.72,1.72,23097,3.3,49.86%
24-07-23,2024-07-2314:11 EST,NVDA,122.32,Call,123,57310,2024-07-26,3,2.17,2.18,2.19,2.19,24826,2.31,50.35%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Put,123,55638,2024-07-26,3,2.19,2.21,2.22,2.18,15958,3.49,48.44%
24-07-23,2024-07-2314:11 EST,PLTR,28.97,Call,29,48275,2024-07-26,3,0.58,0.59,0.59,0.58,17214,2.8,50.70%
24-07-23,2024-07-2314:11 EST,AAPL,224.56,Call,227.5,46033,2024-07-26,3,1.19,1.2,1.21,1.21,23890,1.93,28.23%
24-07-23,2024-07-2314:10 EST,AAPL,224.56,Call,230,45589,2024-07-26,3,0.58,0.59,0.59,0.59,31693,1.44,28.16%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Put,122,44769,2024-07-26,3,1.73,1.74,1.75,1.75,27377,1.64,49.01%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Call,130,44177,2024-07-26,3,0.26,0.27,0.27,0.26,81384,0.54,48.21%
24-07-23,2024-07-2314:03 EST,TSLA,247.4,Put,100,42233,2024-10-18,87,0.22,0.23,0.24,0.24,45310,0.93,82.67%
24-07-23,2024-07-2314:11 EST,AAPL,224.56,Call,225,42160,2024-07-26,3,2.2,2.22,2.23,2.21,15577,2.71,28.30%
24-07-23,2024-07-2314:11 EST,NVDA,122.32,Call,126,37561,2024-07-26,3,0.97,0.98,0.99,0.99,64784,0.58,48.90%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Call,255,36085,2024-07-26,3,8.7,8.75,8.8,8.75,10136,3.56,129.92%
24-07-23,2024-07-2314:10 EST,AMZN,187.27,Call,187.5,34709,2024-07-26,3,2.23,2.25,2.26,2.27,11342,3.06,35.73%
24-07-23,2024-07-2314:10 EST,AMD,154.56,Call,160,33548,2024-07-26,3,1.06,1.08,1.09,1.08,14101,2.38,49.92%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Call,300,31340,2024-07-26,3,0.89,0.9,0.9,0.9,29252,1.07,135.71%
24-07-23,2024-07-2314:06 EST,MPW,4.91,Put,4.5,30211,2024-08-30,38,0.25,0.26,0.26,0.25,837,36.09,69.27%
24-07-23,2024-07-2314:09 EST,AAPL,224.56,Put,222.5,30073,2024-07-26,3,1.27,1.28,1.29,1.28,20135,1.49,27.79%
24-07-23,2024-07-2314:00 EST,LCID,3.46,Put,1,30005,2026-12-18,878,0.39,0.46,0.52,0.39,119611,0.25,125.06%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Put,124,29226,2024-07-26,3,2.72,2.73,2.74,2.74,11879,2.46,48.03%
24-07-23,2024-07-2314:11 EST,AMZN,187.27,Call,195,28300,2024-07-26,3,0.3,0.31,0.31,0.3,24405,1.16,35.72%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Call,127,27744,2024-07-26,3,0.72,0.73,0.73,0.73,68931,0.4,48.63%
24-07-23,2024-07-2314:11 EST,SIRI,3.77,Call,4,27126,2024-08-16,24,0.13,0.14,0.15,0.13,119474,0.23,58.13%
24-07-23,2024-07-2313:52 EST,NIO,4.47,Put,3,26912,2024-12-20,150,0.2,0.21,0.21,0.2,39943,0.67,78.43%
24-07-23,2024-07-2314:11 EST,AMZN,187.27,Call,192.5,26779,2024-07-26,3,0.63,0.64,0.64,0.63,10945,2.45,35.30%
24-07-23,2024-07-2313:49 EST,SAVE,2.82,Put,2,26436,2024-12-20,150,0.63,0.66,0.68,0.66,335,78.91,179.68%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Call,250,26144,2024-07-26,3,10.7,10.77,10.85,10.8,15666,1.67,129.37%
24-07-23,2024-07-2314:10 EST,AMZN,187.27,Put,185,24377,2024-07-26,3,1.43,1.44,1.46,1.42,6374,3.82,35.08%
24-07-23,2024-07-2314:10 EST,AAPL,224.56,Put,225,24143,2024-07-26,3,2.3,2.31,2.32,2.31,12179,1.98,27.19%
24-07-23,2024-07-2314:10 EST,AMZN,187.27,Call,185,23279,2024-07-26,3,3.6,3.65,3.7,3.7,16758,1.39,36.93%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Call,128,23216,2024-07-26,3,0.52,0.53,0.53,0.53,36403,0.64,48.51%
24-07-23,2024-07-2314:11 EST,AAPL,224.56,Put,220,23084,2024-07-26,3,0.64,0.65,0.65,0.64,12544,1.84,28.38%
24-07-23,2024-07-2314:00 EST,BSX,79.11,Put,72.5,22516,2024-08-16,24,0.4,0.45,0.5,0.42,9308,2.42,32.10%
24-07-23,2024-07-2314:09 EST,NVDA,122.32,Put,121,22144,2024-07-26,3,1.34,1.35,1.35,1.33,15469,1.43,49.06%
24-07-23,2024-07-2314:07 EST,IVZ,16.8,Put,14,21421,2024-10-18,87,0.05,0.1,0.15,0.1,21941,0.98,29.13%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Call,270,21382,2024-07-26,3,4.35,4.38,4.4,4.37,20274,1.05,131.43%
24-07-23,2024-07-2314:09 EST,TSLA,247.4,Put,150,21051,2024-10-18,87,1.1,1.12,1.13,1.12,28796,0.73,62.86%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Call,260,20731,2024-07-26,3,7,7.03,7.05,7.03,16973,1.22,130.63%
24-07-23,2024-07-2313:47 EST,MPW,4.91,Put,4.5,20307,2024-08-16,24,0.19,0.2,0.2,0.19,37753,0.54,74.09%
24-07-23,2024-07-2313:20 EST,DASH,105.64,Put,85,20052,2024-08-16,24,0.81,0.85,0.88,0.9,363,55.24,69.86%
24-07-23,2024-07-2314:09 EST,AAPL,224.56,Call,232.5,19140,2024-07-26,3,0.26,0.27,0.27,0.26,12790,1.5,28.26%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Put,115,18951,2024-07-26,3,0.23,0.24,0.24,0.24,31513,0.6,54.33%
24-07-23,2024-07-2314:02 EST,MRVL,68.69,Call,71,18683,2024-07-26,3,0.47,0.49,0.5,0.48,836,22.35,50.04%
24-07-23,2024-07-2314:11 EST,AMZN,187.27,Put,180,18327,2024-07-26,3,0.4,0.41,0.41,0.4,20595,0.89,37.72%
24-07-23,2024-07-2314:10 EST,GOOGL,182.98,Call,195,18311,2024-08-16,24,2.95,2.98,3,2.97,7205,2.54,36.92%
24-07-23,2024-07-2314:09 EST,AMZN,187.27,Put,187.5,18202,2024-07-26,3,2.5,2.53,2.55,2.54,4510,4.04,34.72%
24-07-23,2024-07-2314:11 EST,MARA,21.64,Call,23,18130,2024-07-26,3,0.46,0.49,0.51,0.49,3646,4.97,125.70%
24-07-23,2024-07-2314:11 EST,AMD,154.56,Call,157.5,17680,2024-07-26,3,1.82,1.84,1.85,1.84,5912,2.99,49.90%
24-07-23,2024-07-2314:11 EST,NVDA,122.32,Call,130,17634,2024-08-02,10,1.41,1.42,1.43,1.41,24380,0.72,47.42%
24-07-23,2024-07-2314:10 EST,MSFT,444.15,Call,450,17549,2024-07-26,3,2.24,2.26,2.27,2.25,7042,2.49,26.14%
24-07-23,2024-07-2314:10 EST,SIRI,3.77,Put,5,17502,2024-08-16,24,1.8,1.9,2,1.99,124848,0.14,294.78%
24-07-23,2024-07-2314:11 EST,F,13.93,Put,13,17378,2024-08-16,24,0.25,0.26,0.27,0.25,9802,1.77,43.87%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Call,129,17283,2024-07-26,3,0.37,0.38,0.38,0.38,25190,0.69,48.54%
24-07-23,2024-07-2314:10 EST,AAPL,224.56,Call,235,17203,2024-07-26,3,0.11,0.11,0.12,0.11,27291,0.63,28.77%
24-07-23,2024-07-2314:10 EST,TSLA,247.4,Put,220,17110,2024-07-26,3,1.83,1.85,1.87,1.84,16336,1.05,122.91%
24-07-23,2024-07-2314:00 EST,AAL,10.59,Put,10.5,16976,2024-07-26,3,0.38,0.39,0.4,0.39,39522,0.43,110.34%
24-07-23,2024-07-2314:11 EST,CRWD,273.1,Call,300,16953,2024-07-26,3,1.25,1.31,1.37,1.32,5372,3.16,86.57%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Put,200,16831,2024-08-16,24,1.76,1.78,1.79,1.79,19924,0.84,66.59%
24-07-23,2024-07-2314:10 EST,NVDA,122.32,Call,122,16743,2024-07-26,3,2.71,2.73,2.74,2.74,27311,0.61,51.05%
24-07-23,2024-07-2314:04 EST,NVDA,122.32,Call,120,16736,2024-07-26,3,3.95,4,4.05,4.05,25538,0.66,52.74%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Put,250,16714,2024-07-26,3,12.45,12.5,12.55,12.46,12013,1.39,128.50%
24-07-23,2024-07-2314:11 EST,TSLA,247.4,Put,200,16549,2024-07-26,3,0.36,0.37,0.37,0.37,18326,0.9,131.73%
24-07-23,2024-07-2314:11 EST,PLTR,28.97,Call,30,16257,2024-07-26,3,0.21,0.22,0.22,0.22,32223,0.5,52.49%
24-07-23,2024-07-2314:10 EST,VRT,90.33,Call,150,15740,2024-09-20,59,0.6,0.63,0.65,0.63,198,79.49,71.91%
24-07-23,2024-07-2314:10 EST,SPWR,1.065,Call,1,15600,2024-07-26,3,0.22,0.23,0.23,0.21,6013,2.59,488.06%
