Expiration Date,Stock Symbol,Strike Price,"('2024-07-08', 'Call')","('2024-07-08', 'Put')","('2024-07-09', 'Call')","('2024-07-09', 'Put')","('2024-07-10', 'Call')","('2024-07-10', 'Put')","('2024-07-11', 'Call')","('2024-07-11', 'Put')","('2024-07-12', 'Call')","('2024-07-12', 'Put')","('2024-07-15', 'Call')","('2024-07-15', 'Put')",Separator,2024-07-15 (Put/Call),2024-07-12 (Put/Call),Total Calls,Total Puts,Current Price,Diff,Diff Percentage
2024-07-19,ENPH,85.0,0,0,0,"2,152",0,0,0,0,0,0,0,0,nan,0.0,0.0,0,"2,152",nan,nan,nan
2024-07-19,ENPH,90.0,0,0,0,0,0,"4,297",0,0,0,0,0,0,nan,0.0,0.0,0,"4,297",nan,nan,nan
2024-07-19,ENPH,110.0,"48,845",0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0.0,"48,845",0,nan,nan,nan
2024-07-19,ENPH,112.0,0,0,0,0,0,0,"2,964",0,0,0,"1,743",0,nan,0.0,0.0,"4,707",0,nan,nan,nan
2024-07-19,ENPH,113.0,0,0,0,0,0,0,555,0,0,0,"12,855",0,nan,0.0,0.0,"13,410",0,nan,nan,nan
2024-07-19,ENPH,114.0,0,0,0,0,0,0,657,0,0,0,"4,470",0,nan,0.0,0.0,"5,127",0,nan,nan,nan
2024-07-19,ENPH,115.0,0,0,0,0,0,0,"71,449",0,0,0,0,0,nan,0.0,0.0,"71,449",0,nan,nan,nan
2024-07-19,ENPH,116.0,0,0,0,0,0,0,0,0,510,0,"5,514",0,nan,0.0,0.0,"6,024",0,nan,nan,nan
2024-07-19,ENPH,117.0,0,0,0,0,0,0,0,0,558,0,562,0,nan,0.0,0.0,"1,120",0,nan,nan,nan
2024-07-19,ENPH,119.0,0,0,0,0,0,0,"2,716",0,0,0,"7,612",0,nan,0.0,0.0,"10,328",0,nan,nan,nan
2024-07-19,ENPH,120.0,0,0,0,0,0,0,0,0,0,0,"4,456",0,nan,0.0,0.0,"4,456",0,nan,nan,nan
2024-07-19,ENPH,125.0,0,0,0,0,0,0,"6,415",0,"9,804",0,"369,125",0,nan,0.0,0.0,"385,344",0,nan,nan,nan
2024-08-02,ENPH,105.0,0,0,0,0,0,0,0,0,0,0,0,797,nan,0.0,0.0,0,797,nan,nan,nan
2024-08-16,ENPH,130.0,0,0,"15,015",0,0,0,"44,349",0,0,0,0,0,nan,0.0,0.0,"59,364",0,nan,nan,nan
