Expiration Date,Stock Symbol,"('2024-12-12', 'Put')","('2024-12-13', 'Call')","('2024-12-13', 'Put')",Separator,2024-12-13 (Put/Call),Total Calls,Total Puts
2024-12-13,TSLA,0,"22,429,794","10,501,734",nan,0.47,"22,429,794","10,501,734"
2024-12-13,AVGO,0,"5,644,147","3,275",nan,0.00,"5,644,147","3,275"
2024-12-13,NVDA,0,"2,967,349","1,988,872",nan,0.67,"2,967,349","1,988,872"
2024-12-13,PLTR,0,"2,114,678","471,389",nan,0.22,"2,114,678","471,389"
2024-12-13,AMD,0,"1,836,104","1,724,030",nan,0.94,"1,836,104","1,724,030"
2024-12-13,AAPL,0,"1,401,133","999,706",nan,0.71,"1,401,133","999,706"
2024-12-13,SOUN,0,"908,767","87,527",nan,0.10,"908,767","87,527"
2024-12-13,AMZN,0,"719,855","433,253",nan,0.60,"719,855","433,253"
2024-12-13,MSTR,0,"573,478","146,901",nan,0.26,"573,478","146,901"
2024-12-13,BA,0,"491,379","12,565",nan,0.03,"491,379","12,565"
2024-12-13,META,0,"464,220","327,895",nan,0.71,"464,220","327,895"
2024-12-13,ARM,0,"439,945","10,372",nan,0.02,"439,945","10,372"
2024-12-13,GOOGL,0,"352,419","95,698",nan,0.27,"352,419","95,698"
2024-12-13,RIOT,0,"347,419","107,180",nan,0.31,"347,419","107,180"
2024-12-13,COST,0,"307,029","64,315",nan,0.21,"307,029","64,315"
2024-12-13,ACHR,0,"299,226","17,794",nan,0.06,"299,226","17,794"
2024-12-13,MSFT,0,"249,802","265,656",nan,1.06,"249,802","265,656"
2024-12-13,UPST,0,"236,112","17,513",nan,0.07,"236,112","17,513"
2024-12-13,AFRM,0,"168,945",0,nan,0.00,"168,945",0
2024-12-13,MARA,0,"164,322",0,nan,0.00,"164,322",0
2024-12-13,TSM,0,"154,687","24,220",nan,0.16,"154,687","24,220"
2024-12-13,SMCI,"13,222","149,077","210,405",nan,1.41,"149,077","223,627"
2024-12-13,COIN,0,"141,630","68,882",nan,0.49,"141,630","68,882"
2024-12-13,MRVL,0,"107,380","5,012",nan,0.05,"107,380","5,012"
2024-12-13,SOFI,0,"98,319",0,nan,0.00,"98,319",0
2024-12-13,ADBE,0,"86,045","134,162",nan,1.56,"86,045","134,162"
2024-12-13,GME,0,"76,594","4,398",nan,0.06,"76,594","4,398"
2024-12-13,MU,0,"64,313","50,657",nan,0.79,"64,313","50,657"
2024-12-13,GOOG,0,"57,880","73,137",nan,1.26,"57,880","73,137"
2024-12-13,AI,0,"56,285","4,557",nan,0.08,"56,285","4,557"
2024-12-13,WBA,0,"51,473",0,nan,0.00,"51,473",0
2024-12-13,UNH,0,"36,384","17,880",nan,0.49,"36,384","17,880"
2024-12-13,SNOW,0,"33,390","30,588",nan,0.92,"33,390","30,588"
2024-12-13,RIVN,0,"32,936",0,nan,0.00,"32,936",0
2024-12-13,UBER,0,"24,425","12,376",nan,0.51,"24,425","12,376"
2024-12-13,CRWD,0,"20,680",514,nan,0.02,"20,680",514
2024-12-13,IONQ,0,"20,032","2,606",nan,0.13,"20,032","2,606"
2024-12-13,PYPL,0,"18,921",0,nan,0.00,"18,921",0
2024-12-13,RKLB,0,"16,731",0,nan,0.00,"16,731",0
2024-12-13,APP,0,"15,468","4,283",nan,0.28,"15,468","4,283"
2024-12-13,NFLX,0,"14,049","32,869",nan,2.34,"14,049","32,869"
2024-12-13,IBM,0,"11,591",0,nan,0.00,"11,591",0
2024-12-13,DOCU,0,"11,465","1,547",nan,0.13,"11,465","1,547"
2024-12-13,RDDT,0,"10,924","5,339",nan,0.49,"10,924","5,339"
2024-12-13,XOM,0,"9,324",0,nan,0.00,"9,324",0
2024-12-13,PFE,0,"8,840",0,nan,0.00,"8,840",0
2024-12-13,RBLX,0,"7,255",0,nan,0.00,"7,255",0
2024-12-13,CLSK,0,"7,185",0,nan,0.00,"7,185",0
2024-12-13,T,0,"6,822",0,nan,0.00,"6,822",0
2024-12-13,DJT,0,"5,657","6,941",nan,1.23,"5,657","6,941"
2024-12-13,HOOD,0,"5,473",0,nan,0.00,"5,473",0
2024-12-13,TGT,0,"5,315",0,nan,0.00,"5,315",0
