Expiration Date,Stock Symbol,"('2024-08-12', 'Call')","('2024-08-12', 'Put')","('2024-08-13', 'Call')","('2024-08-13', 'Put')","('2024-08-14', 'Call')","('2024-08-14', 'Put')","('2024-08-15', 'Call')","('2024-08-15', 'Put')","('2024-08-16', 'Call')","('2024-08-16', 'Put')",Separator,2024-08-16 (Put/Call),2024-08-15 (Put/Call),Total Calls,Total Puts
2024-08-16,NVDA,"21,074,293","11,383,555","9,402,056","8,074,513","21,127,754","12,698,680","11,953,610","6,340,323","14,344,689","6,298,694",nan,0.44,0.53,"77,902,402","44,795,765"
2024-08-16,TSLA,"4,729,021","4,649,999","12,667,789","7,136,258","10,436,652","10,491,519","19,158,320","12,036,828","17,815,414","10,838,924",nan,0.61,0.63,"64,807,196","45,153,528"
2024-08-16,AAPL,"2,538,995","3,529,540","1,628,227","2,263,489","2,940,949","2,681,821","2,861,056","965,861","2,819,007","751,735",nan,0.27,0.34,"12,788,234","10,192,446"
2024-08-16,AMZN,"606,538","128,658","1,099,175","217,228","620,243","114,467","2,249,700","810,631","680,640","111,392",nan,0.16,0.36,"5,256,296","1,382,376"
2024-08-16,META,"71,052","142,808","1,188,168","453,703","1,266,207","965,079","714,296","290,974","1,176,043","550,560",nan,0.47,0.41,"4,415,766","2,403,124"
2024-08-16,GOOG,"31,452","4,835","235,263",0,"998,228","346,416","386,647","126,267","381,764","45,291",nan,0.12,0.33,"2,033,354","522,809"
2024-08-16,MSFT,"215,881","16,667","369,073","8,458","203,256","28,637","178,675","59,683","296,544","40,707",nan,0.14,0.33,"1,263,429","154,152"
2024-08-23,TSLA,"349,468","234,032","1,490,605","539,828","1,767,456","680,660","3,207,053","1,677,752","5,584,049","1,987,587",nan,0.36,0.52,"12,398,631","5,119,859"
2024-08-23,NVDA,"828,423","445,873","556,854","449,626","2,452,628","1,316,404","2,393,130","945,054","4,511,984","1,798,402",nan,0.40,0.39,"10,743,019","4,955,359"
2024-08-23,AMZN,"42,993","18,757","489,058","2,718","420,680","3,708","870,442","71,063","397,407","65,968",nan,0.17,0.08,"2,220,580","162,214"
2024-08-23,AAPL,"117,584","146,260","132,386","187,388","514,587","114,497","289,609","125,950","770,135","303,322",nan,0.39,0.43,"1,824,301","877,417"
