Expiration Date,Stock Symbol,"('2024-07-03', 'Call')","('2024-07-03', 'Put')","('2024-07-05', 'Call')","('2024-07-05', 'Put')","('2024-07-08', 'Call')","('2024-07-08', 'Put')","('2024-07-09', 'Call')","('2024-07-09', 'Put')","('2024-07-10', 'Call')","('2024-07-10', 'Put')",Separator,2024-07-10 (Put/Call),2024-07-09 (Put/Call),Total Calls,Total Puts
07-12,AMD,"217,763","63,148","3,969,411","670,698","10,866,402","1,554,492","5,906,659","1,932,047",0,0,nan,0.0,0.33,"20,960,235","4,220,385"
07-12,AAPL,"1,066,135","38,007","4,083,219","1,145,218","7,943,737","2,990,369","6,758,912","1,909,258",0,0,nan,0.0,0.28,"19,852,003","6,082,852"
07-12,PLTR,0,0,"1,006,086","202,893","5,333,818","305,996","1,502,882","268,650","2,704,712","312,410",nan,0.12,0.18,"10,547,498","1,089,949"
07-12,AMZN,"594,082","52,173","1,571,695","70,877","4,480,830","475,722","2,750,802","76,569",0,0,nan,0.0,0.03,"9,397,409","675,341"
07-12,META,"27,185","1,686","1,364,136","250,650","1,893,590","406,664","1,171,203","56,129","3,647,710","606,792",nan,0.17,0.05,"8,103,824","1,321,921"
07-12,TSM,"33,261","16,461","64,830","10,358","711,334","158,668","511,280","7,696","2,973,016","315,520",nan,0.11,0.02,"4,293,721","508,703"
07-12,MSFT,"7,582","2,769","159,884","68,339","98,089","47,790","649,222","155,697","2,487,252","141,540",nan,0.06,0.24,"3,402,029","416,135"
07-12,CVNA,0,0,0,"1,056",0,0,"12,365",0,"2,261,268","49,468",nan,0.02,0.00,"2,273,633","50,524"
07-12,BIDU,"1,624",0,"5,086",0,0,0,"438,737","20,407","1,825,566","115,438",nan,0.06,0.05,"2,271,013","135,845"
07-12,MRVL,0,0,"45,088",0,"291,634","1,370","9,632",0,"1,496,448",0,nan,0.0,0.00,"1,842,802","1,370"
07-12,ON,0,0,0,0,0,0,0,0,"1,524,634",0,nan,0.0,0.00,"1,524,634",0
07-12,AMC,0,0,0,0,"1,006,988","90,790",0,0,0,0,nan,0.0,0.00,"1,006,988","90,790"
07-12,SOUN,0,0,"5,077",0,0,0,0,0,"965,770","31,742",nan,0.03,0.00,"970,847","31,742"
07-12,ARM,"48,535","1,159","262,979","33,032","338,850","34,704","229,458","13,704",0,0,nan,0.0,0.06,"879,822","82,599"
07-12,COIN,"6,531",0,"482,307","38,490","73,640","35,680","52,850","1,302","227,544","12,682",nan,0.06,0.02,"842,872","88,154"
07-12,MARA,"15,018",0,"252,108","58,854","405,920","46,909","36,673",0,"120,116",0,nan,0.0,0.00,"829,835","105,763"
07-12,NFLX,627,0,"105,488",522,"30,241","17,054","178,443",794,"508,008","28,944",nan,0.06,0.00,"822,807","47,314"
07-12,GOOGL,"9,915","3,118","279,697","18,137","144,317",0,"353,496",0,0,"125,714",nan,0.0,0.00,"787,425","146,969"
07-12,DOCU,0,0,0,0,525,0,0,0,"699,706",0,nan,0.0,0.00,"700,231",0
07-12,BA,0,0,"6,101",0,"693,887","266,140",0,0,0,0,nan,0.0,0.00,"699,988","266,140"
07-12,DELL,"42,243",0,"12,072",0,"265,481","6,886","328,609","17,811","41,288","2,110",nan,0.05,0.05,"689,693","26,807"
07-12,UBER,0,0,0,0,"3,532",0,0,0,"648,848","39,204",nan,0.06,0.00,"652,380","39,204"
07-12,AMAT,0,0,0,"1,080","25,183",0,"591,302",0,0,0,nan,0.0,0.00,"616,485","1,080"
07-12,NKE,"6,847",0,"29,699",0,"268,581","116,180","62,621","3,723","185,926",0,nan,0.0,0.06,"553,674","119,903"
07-12,HPQ,0,0,0,0,0,0,0,0,"473,038",0,nan,0.0,0.00,"473,038",0
07-12,HOOD,758,0,0,"5,833","108,563","10,378","181,649",0,"151,156","14,946",nan,0.1,0.00,"442,126","31,157"
07-12,AVGO,"60,505",0,"34,254","12,855","156,980","5,654","189,357","17,580",0,0,nan,0.0,0.09,"441,096","36,089"
07-12,BABA,"24,390","7,020","12,764",799,"5,240","1,387","375,418","11,733",0,0,nan,0.0,0.03,"417,812","20,939"
07-12,GS,0,0,0,0,"61,309",0,"221,976",587,"90,962",0,nan,0.0,0.00,"374,247",587
07-12,PDD,"20,104",0,0,0,523,0,"216,665",0,"135,776",0,nan,0.0,0.00,"373,068",0
07-12,NCLH,0,756,0,0,"345,720",0,0,0,0,0,nan,0.0,0.00,"345,720",756
07-12,PYPL,0,0,"207,023","3,413","9,617",0,"6,908",0,"85,044",0,nan,0.0,0.00,"308,592","3,413"
07-12,COST,648,0,"9,068","1,319","47,518","12,705","58,379","1,787","191,894","2,042",nan,0.01,0.03,"307,507","17,853"
07-12,BAC,"2,036","6,901",0,0,0,"9,648","291,371","32,193",0,0,nan,0.0,0.11,"293,407","48,742"
07-12,CRM,"20,823",0,"20,208",0,"4,009","2,894","2,188","25,600","230,602","22,016",nan,0.1,11.70,"277,830","50,510"
07-12,SNOW,0,0,"16,063",0,"3,158","5,290","16,989","33,372","238,510","2,230",nan,0.01,1.96,"274,720","40,892"
07-12,PANW,0,0,"193,202","3,896","68,527","4,454",0,0,"6,608",0,nan,0.0,0.00,"268,337","8,350"
07-12,CHWY,"4,409",0,"10,718","2,073","2,011","2,131","9,503",0,"219,090","4,376",nan,0.02,0.00,"245,731","8,580"
07-12,XOM,0,0,"18,909","20,986","24,116","39,821","61,630",0,"136,770",0,nan,0.0,0.00,"241,425","60,807"
07-12,SNAP,0,0,0,"4,783",0,0,"3,856",0,"224,860","17,864",nan,0.08,0.00,"228,716","22,647"
07-12,QCOM,0,0,"12,625",0,"71,864","18,078","1,511",0,"90,116",0,nan,0.0,0.00,"176,116","18,078"
07-12,CVX,0,0,"13,838","1,897",0,0,0,0,"157,852",0,nan,0.0,0.00,"171,690","1,897"
07-12,SBUX,0,0,"3,843",804,"17,603","9,854","50,811","10,726","92,916",0,nan,0.0,0.21,"165,173","21,384"
07-12,UPST,"3,065",0,0,0,"131,297",784,"6,532",0,"16,434",0,nan,0.0,0.00,"157,328",784
07-12,CMG,0,0,0,0,"50,481","2,479","4,716","37,200","100,714","5,936",nan,0.06,7.89,"155,911","45,615"
07-12,C,0,0,"2,549",0,0,0,"149,096","26,658",0,0,nan,0.0,0.18,"151,645","26,658"
07-12,DIS,"65,816",0,"16,931",667,"36,701",0,"16,008","36,029","11,714",0,nan,0.0,2.25,"147,170","36,696"
07-12,CELH,0,0,0,"1,115",0,"10,331","13,441",0,"133,288",0,nan,0.0,0.00,"146,729","11,446"
07-12,VST,0,0,0,0,0,606,"36,888",0,"100,796",0,nan,0.0,0.00,"137,684",606
07-12,IBM,0,0,0,0,"7,146",0,"125,750",0,0,0,nan,0.0,0.00,"132,896",0
07-12,JD,"63,409",0,0,0,0,"4,081","68,119",0,0,0,nan,0.0,0.00,"131,528","4,081"
07-12,KO,0,0,0,0,0,"2,122",0,0,"122,002","8,668",nan,0.07,0.00,"122,002","10,790"
07-12,SQ,0,0,"54,377","3,202","12,958","4,513",0,0,"51,612",0,nan,0.0,0.00,"118,947","7,715"
07-12,AI,0,0,"85,888",0,"18,376","1,300","9,403","3,329",0,0,nan,0.0,0.35,"113,667","4,629"
07-12,SAVA,0,0,0,0,0,0,"109,219",0,0,0,nan,0.0,0.00,"109,219",0
07-12,MS,0,0,0,0,0,0,"2,384",0,"104,812",0,nan,0.0,0.00,"107,196",0
07-12,CLSK,"2,235",0,"38,017","6,468","55,115","7,588","5,733",0,0,0,nan,0.0,0.00,"101,100","14,056"
07-12,GLW,0,0,0,0,539,0,"79,531","8,003","3,324",0,nan,0.0,0.10,"83,394","8,003"
07-12,RIOT,0,0,"82,369",0,0,"12,189",0,0,0,0,nan,0.0,0.00,"82,369","12,189"
07-12,AFRM,"21,299",0,0,0,"33,039","3,280","27,223",0,0,0,nan,0.0,0.00,"81,561","3,280"
07-12,VZ,0,0,"4,691",0,"2,810","6,570",0,"16,387","72,768",0,nan,0.0,0.00,"80,269","22,957"
07-12,SPWR,0,0,0,"5,581","74,214",0,0,0,0,0,nan,0.0,0.00,"74,214","5,581"
07-12,TGT,0,0,0,909,"25,500",0,0,0,"42,876",0,nan,0.0,0.00,"68,376",909
07-12,LLY,0,0,532,0,"17,966",573,"8,921","1,542","40,148","2,462",nan,0.06,0.17,"67,567","4,577"
07-12,JPM,"1,186",0,"3,124",0,"2,684","12,045","59,829","2,815",0,0,nan,0.0,0.05,"66,823","14,860"
07-12,ACB,0,0,0,0,0,0,"63,915",0,0,0,nan,0.0,0.00,"63,915",0
07-12,SEDG,544,0,0,0,"34,572",0,0,0,"26,410",0,nan,0.0,0.00,"61,526",0
07-12,CCL,0,0,"1,605",0,"9,866","6,280",0,0,"48,632",0,nan,0.0,0.00,"60,103","6,280"
07-12,MGM,0,0,0,0,0,0,"59,929",538,0,0,nan,0.0,0.01,"59,929",538
07-12,GE,0,0,0,0,0,0,0,0,"57,798",0,nan,0.0,0.00,"57,798",0
07-12,SIRI,"5,068",0,"46,904",0,0,0,0,"2,358",0,"8,436",nan,0.0,0.00,"51,972","10,794"
07-12,U,0,0,0,0,"46,429","3,054","5,297",0,0,0,nan,0.0,0.00,"51,726","3,054"
07-12,T,0,0,0,0,0,0,"45,174",0,"5,080",0,nan,0.0,0.00,"50,254",0
07-19,T,0,0,0,0,0,0,"1,097,524",0,"12,424",0,nan,0.0,0.00,"1,109,948",0
07-19,AMD,0,0,"144,269","8,045","522,339","22,024","115,886","17,122",0,0,nan,0.0,0.15,"782,494","47,191"
07-19,MSFT,0,"3,827","7,015","11,750","3,479",656,"22,043",0,"695,154","94,212",nan,0.14,0.00,"727,691","110,445"
07-19,AAPL,"29,613","1,087","61,653","20,428","405,038","82,817","2,348","131,078",0,0,nan,0.0,55.83,"498,652","235,410"
07-19,BIDU,"7,885",0,890,0,0,0,"382,522","1,335","12,056","1,026",nan,0.09,0.00,"403,353","2,361"
07-19,SGH,627,0,0,0,"3,596",0,0,"22,426","332,928","15,790",nan,0.05,0.00,"337,151","38,216"
07-19,MU,0,0,"3,329",0,0,0,"3,441",0,"292,574",0,nan,0.0,0.00,"299,344",0
07-19,HD,0,0,"1,301",0,0,0,0,0,"275,462",0,nan,0.0,0.00,"276,763",0
07-19,META,0,0,"100,424","13,043",0,"1,236",0,0,"154,362","6,568",nan,0.04,0.00,"254,786","20,847"
07-19,BAC,"225,838",0,0,0,0,0,"17,051",662,0,0,nan,0.0,0.04,"242,889",662
07-19,CRWD,0,0,0,0,"158,241",0,0,0,"18,922",0,nan,0.0,0.00,"177,163",0
07-19,CVNA,0,0,0,0,"4,554",0,0,0,"166,572",0,nan,0.0,0.00,"171,126",0
07-19,SOUN,0,0,0,0,0,0,0,0,"160,680",0,nan,0.0,0.00,"160,680",0
07-19,F,0,"76,417",0,0,0,"13,172",0,0,"131,142",0,nan,0.0,0.00,"131,142","89,589"
07-19,GLW,0,0,0,0,"25,420","3,001","98,031","25,625",0,0,nan,0.0,0.26,"123,451","28,626"
07-19,ENPH,"3,661",0,0,0,"108,017",0,0,"2,152",0,"8,594",nan,0.0,0.00,"111,678","10,746"
07-19,GS,"66,565",0,0,0,0,0,"37,603",0,0,0,nan,0.0,0.00,"104,168",0
07-19,CAG,0,0,0,0,0,0,0,0,"97,072","3,170",nan,0.03,0.00,"97,072","3,170"
07-19,JPM,"65,275",0,0,0,0,"1,417","5,880",0,"15,594","2,196",nan,0.14,0.00,"86,749","3,613"
07-19,GME,0,0,0,0,0,855,0,0,"86,376",0,nan,0.0,0.00,"86,376",855
07-19,SMCI,0,0,0,0,"51,145","15,431","11,140",0,"16,374","2,846",nan,0.17,0.00,"78,659","18,277"
07-19,SNAP,0,0,0,0,0,0,0,0,"77,184",0,nan,0.0,0.00,"77,184",0
07-19,VZ,0,0,0,0,0,0,"74,829",0,0,0,nan,0.0,0.00,"74,829",0
07-19,CHWY,0,0,0,0,"2,355","4,255","4,465","8,848","64,400",0,nan,0.0,1.98,"71,220","13,103"
07-19,AMZN,0,0,0,0,704,"15,663","65,564",0,0,0,nan,0.0,0.00,"66,268","15,663"
07-19,CSCO,"51,688",0,0,0,"12,610",0,0,"2,528",0,0,nan,0.0,0.00,"64,298","2,528"
07-19,GOOGL,0,0,"2,027","2,397",0,0,"43,327",0,"18,404",0,nan,0.0,0.00,"63,758","2,397"
07-19,XPEV,"45,530",0,0,0,0,0,0,0,"11,476",0,nan,0.0,0.00,"57,006",0
07-19,IREN,0,0,0,0,0,0,0,0,"53,354",0,nan,0.0,0.00,"53,354",0
07-26,BIDU,0,0,0,0,0,0,"4,673",0,"771,104",0,nan,0.0,0.00,"775,777",0
07-26,AMD,"1,531",0,"52,038","2,132","479,101","2,495","28,397",0,0,0,nan,0.0,0.00,"561,067","4,627"
07-26,NVDA,"45,335","24,763",0,0,"3,927",0,"178,191","25,015","156,340","14,190",nan,0.09,0.14,"383,793","63,968"
07-26,TSLA,"83,912","47,860","154,661","23,832","3,108","13,409","71,427","76,645","64,850","12,582",nan,0.19,1.07,"377,958","174,328"
07-26,XOM,0,0,0,0,0,0,0,0,"149,654",0,nan,0.0,0.00,"149,654",0
07-26,SOUN,0,0,0,0,0,0,0,0,"140,892",0,nan,0.0,0.00,"140,892",0
07-26,INTC,0,0,"42,211","1,497",0,0,"30,076","20,063","46,214",0,nan,0.0,0.67,"118,501","21,560"
07-26,PLTR,0,0,"29,199",0,564,"2,430","10,256",550,"11,322",0,nan,0.0,0.05,"51,341","2,980"
08-02,PFE,0,0,0,0,0,0,0,"2,237","164,926",0,nan,0.0,0.00,"164,926","2,237"
08-02,TSLA,"40,535","8,975","30,723","4,919","3,248","1,588","54,191","9,168",0,"18,346",nan,0.0,0.17,"128,697","42,996"
08-02,AMD,0,0,"21,163","2,438","56,936","1,428",0,0,0,0,nan,0.0,0.00,"78,099","3,866"
08-02,INTC,0,0,0,0,"12,657",0,"50,087",529,"13,606",0,nan,0.0,0.01,"76,350",529
08-02,BIDU,0,0,0,0,0,0,"68,021",0,0,0,nan,0.0,0.00,"68,021",0
08-09,TSLA,"26,422","4,736","8,421",931,"38,473","2,058","4,694","3,113","15,804","1,046",nan,0.07,0.66,"93,814","11,884"
08-09,NVDA,"3,226","2,251","2,123","12,584","7,579",0,"40,637","4,077","40,114","4,952",nan,0.12,0.10,"93,679","23,864"
08-09,AAPL,0,0,"55,766",0,"6,025",0,"1,117","2,457",0,0,nan,0.0,2.20,"62,908","2,457"
