Expiration Date,Stock Symbol,"('2024-12-09', 'Call')","('2024-12-09', 'Put')","('2024-12-10', 'Call')","('2024-12-10', 'Put')","('2024-12-11', 'Call')","('2024-12-11', 'Put')","('2024-12-12', 'Call')","('2024-12-12', 'Put')","('2024-12-13', 'Call')","('2024-12-13', 'Put')",Separator,2024-12-13 (Put/Call),2024-12-12 (Put/Call),Total Calls,Total Puts
2024-12-13,TSLA,"10,267,194","4,700,964","13,804,123","8,023,039","10,696,878","6,259,013","13,281,716","9,777,074","21,311,020","10,266,105",,0.48,0.74,69360931,39026195
2024-12-13,NVDA,"4,942,930","2,901,435","7,114,849","2,494,728","8,186,587","2,520,122","5,422,157","2,521,458","2,714,190","1,808,474",,0.67,0.47,28380713,12246217
2024-12-13,AAPL,"4,564,376","2,306,947","1,620,602","1,415,263","4,400,532","2,436,944","3,557,998","2,876,806","1,322,270","999,706",,0.76,0.81,15465778,10035666
2024-12-13,GOOGL,"835,945","24,855","6,802,491","855,138","4,414,092","927,661","1,471,881","140,343","352,419","74,094",,0.21,0.1,13876828,2022091
2024-12-13,AMD,"1,182,668","1,119,434","1,207,233","1,702,194","2,065,001","870,271","3,401,607","997,362","1,798,981","1,699,700",,0.94,0.29,9655490,6388961
2024-12-13,AMZN,"3,697,545","975,319","144,573","327,289","2,599,422","585,261","756,529","532,977","681,790","433,253",,0.64,0.7,7879859,2854099
2024-12-13,PLTR,"2,075,851","1,582,413","1,052,464","1,043,230","755,564","399,160","1,885,471","380,046","1,708,564","471,389",,0.28,0.2,7477914,3876238
2024-12-13,AVGO,"33,737","6,172","125,294","61,066","117,024","135,323","620,421","260,118","5,250,744","3,275",,0.0,0.42,6147220,465954
2024-12-13,GOOG,"105,836",0,"2,472,075","241,214","2,652,897","261,697","589,755","167,617","57,880","61,776",,1.07,0.28,5878443,732304
2024-12-13,MSFT,"312,247","62,408","373,094","64,728","320,000","44,042","2,300,613","402,421","249,802","265,656",,1.06,0.17,3555756,839255
2024-12-13,META,"188,422","97,682","600,238","75,282","983,646","211,225","711,412","370,751","442,585","327,895",,0.74,0.52,2926303,1082835
2024-12-13,SMCI,"855,053","205,433","275,089","191,939","690,373","240,105","194,562","271,434","136,660","199,484",,1.46,1.4,2151737,1108395
2024-12-13,BA,"174,700","14,490","905,571","171,119","265,917","30,579",0,"6,090","482,906","12,565",,0.03,0.0,1829094,234843
2024-12-13,CELH,"21,216","5,275","1,677,251","10,115","7,387",0,"102,761",0,0,0,,0.0,0.0,1808615,15390
2024-12-13,RIOT,"391,519","260,221","20,667",0,"43,234",0,"851,291","74,673","347,419","107,180",,0.31,0.09,1654130,442074
2024-12-13,ARM,"158,460","5,496","187,075","82,909","68,694",0,"507,855","14,437","433,999","10,372",,0.02,0.03,1356083,113214
2024-12-13,SOUN,"316,082","161,484","92,142","14,623","20,848",0,"58,964",0,"851,968","87,527",,0.1,0.0,1340004,263634
2024-12-13,MARA,"287,235","37,629","60,706",0,"291,997",0,"516,570","24,501","164,322",0,,0.0,0.05,1320830,62130
2024-12-13,RIVN,"703,458","170,819","322,160","56,193","40,176","27,828","123,725","16,906","16,036",0,,0.0,0.14,1205555,271746
2024-12-13,AI,"128,294","37,892","682,996","131,151","239,608","23,505","47,416","21,257","56,285","4,557",,0.08,0.45,1154599,218362
2024-12-13,BABA,"1,026,970","53,014",0,0,"9,082",0,0,"1,937",0,0,,0.0,0.0,1036052,54951
2024-12-13,MSTR,"47,787","28,622","26,929","63,502","19,574","70,188","94,781","78,631","537,323","146,901",,0.27,0.83,726394,387844
2024-12-13,ORCL,"320,719","166,176","310,638","250,771","75,776",0,"3,453",0,0,0,,0.0,0.0,710586,416947
2024-12-13,GME,"20,617",0,"23,177","37,360","451,748","86,377",0,"40,709","76,594","2,063",,0.03,0.0,572136,166509
2024-12-13,ACHR,"3,945","3,243",0,0,"14,885",0,"274,170",0,"273,392","17,794",,0.07,0.0,566392,21037
2024-12-13,COIN,"157,234","42,776","117,265","6,162","16,314","26,560","38,027","33,174","138,255","50,070",,0.36,0.87,467095,158742
2024-12-13,PINS,"389,150",0,0,0,0,0,0,0,0,0,,0.0,0.0,389150,0
2024-12-13,INTC,"77,265",0,"257,946",0,0,0,"29,333",0,0,0,,0.0,0.0,364544,0
2024-12-13,SOFI,"239,350","240,776","6,864",0,"8,067",0,0,"111,668","98,319",0,,0.0,0.0,352600,352444
2024-12-13,SBUX,"241,069",0,"4,957",0,"94,580",0,0,0,0,0,,0.0,0.0,340606,0
2024-12-13,COST,0,"3,590",852,0,0,"1,217","24,099","8,160","301,752","59,063",,0.2,0.34,326703,72030
2024-12-13,UBER,0,0,0,0,"149,714","128,570","149,218","6,406","24,425","12,376",,0.51,0.04,323357,147352
2024-12-13,ADBE,0,0,0,0,"9,915","26,359","224,122","444,603","86,045","129,490",,1.5,1.98,320082,600452
2024-12-13,UPST,519,0,"2,424",0,0,0,"81,401","6,880","230,349","17,513",,0.08,0.08,314693,24393
2024-12-13,BAC,"6,195","16,646","222,035",0,"78,404",0,0,0,"2,900",0,,0.0,0.0,309534,16646
2024-12-13,PDD,"229,048","3,848","33,381","5,691","8,483","2,804","8,471","16,205",0,0,,0.0,1.91,279383,28548
2024-12-13,RBLX,"3,324","1,267",0,529,"237,117",607,0,"3,099","7,255",0,,0.0,0.0,247696,5502
2024-12-13,CZR,0,0,0,0,0,0,"240,276",0,0,0,,0.0,0.0,240276,0
2024-12-13,NIO,"210,336","11,094",0,0,0,0,0,0,0,0,,0.0,0.0,210336,11094
2024-12-13,AAL,0,"4,494","209,625","63,450",0,0,0,0,0,"12,442",,0.0,0.0,209625,80386
2024-12-13,MU,"1,924","8,049","69,577","1,875","41,758",0,"26,369","16,782","64,313","50,657",,0.79,0.64,203941,77363
2024-12-13,APP,"162,950","83,406","6,382","19,821","11,016",0,"3,810","5,984","15,468","4,283",,0.28,1.57,199626,113494
2024-12-13,RDDT,"151,465","10,642","8,901","25,823","8,114",0,"21,173",0,"9,224","5,339",,0.58,0.0,198877,41804
2024-12-13,TGT,"57,404","6,513","109,631",849,"11,264",0,0,0,"5,315",0,,0.0,0.0,183614,7362
2024-12-13,DJT,"92,007",0,"42,092","1,427","9,058","1,345","21,346","3,964","5,657","5,815",,1.03,0.19,170160,12551
2024-12-13,AFRM,"1,270","2,273",0,"4,825",0,0,831,976,"167,310",0,,0.0,1.17,169411,8074
2024-12-13,CHWY,"2,247",0,"159,792",0,0,0,0,0,0,0,,0.0,0.0,162039,0
2024-12-13,TSM,0,"20,462","12,247",717,0,0,0,0,"140,185","24,220",,0.17,0.0,152432,45399
2024-12-13,MRVL,"30,413","1,353","10,746",0,"2,028",0,0,0,"107,380","5,012",,0.05,0.0,150567,6365
2024-12-13,MCD,"19,123",0,0,0,0,0,"126,406",0,0,0,,0.0,0.0,145529,0
2024-12-13,CLSK,"33,714","5,690","17,257",0,"28,097",0,"54,669",0,"7,185",0,,0.0,0.0,140922,5690
2024-12-13,WBA,0,0,"94,545",0,0,"8,663",0,0,"41,507",0,,0.0,0.0,136052,8663
2024-12-13,DLTR,651,0,"6,957",0,"126,127",0,0,0,0,0,,0.0,0.0,133735,0
2024-12-13,SNOW,"25,322","28,217","28,704","11,012","16,168",0,"27,147","16,855","33,390","30,588",,0.92,0.62,130731,86672
2024-12-13,CVS,"101,361","1,008","6,334",0,"3,391",0,"6,348","96,883",602,"7,970",,13.24,15.26,118036,105861
2024-12-13,DASH,0,0,"112,966",0,0,0,0,0,0,0,,0.0,0.0,112966,0
2024-12-13,PYPL,"92,960",0,0,0,0,0,"4,112",0,"12,930",0,,0.0,0.0,110002,0
