Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-10-18,SW,SmurfitWestro,43.72,+0.30,0.69%,35012,24346,39.46%,+1946.29%,35007,5,0.0001
24-10-18,ABL,AbacusLifeIn,9.65,-0.11,-1.13%,3142,474,76.93%,+1254.31%,30,3112,103.7333
24-10-18,ATEN,A10NetworksI,14.74,+0.01,0.07%,1051,1341,51.93%,+1054.95%,0,1051,999.9900
24-10-18,TROW,TRowePriceG,115.12,+1.91,1.68%,9298,57319,52.87%,+686.63%,209,9089,43.4880
24-10-18,LKQ,LKQCorp,39.32,-0.07,-0.18%,3528,17381,83.28%,+647.46%,3493,35,0.0100
24-10-18,AMTX,AemetisInc,2.92,-0.08,-2.67%,3468,36055,14.69%,+438.51%,2054,1414,0.6884
24-10-18,SII,SprottInc,46.39,+0.89,1.95%,770,6790,23.14%,+420.27%,769,1,0.0013
24-10-18,TPIC,TpiComposites,4.45,+0.22,5.20%,1076,17274,22.91%,+405.16%,1075,1,0.0009
24-10-18,ALEC,AlectorInc,5.12,-0.03,-0.58%,778,4674,94.05%,+332.22%,762,16,0.0210
24-10-18,TRIP,TripadvisorIn,15.48,+0.21,1.38%,7863,170168,67.44%,+299.14%,7777,86,0.0111
24-10-18,IQV,IqviaHoldings,235.42,+1.53,0.65%,2610,9236,90.37%,+286.67%,21,2589,123.2857
24-10-18,IGT,International,20.38,-0.27,-1.33%,6237,45823,24.85%,+269.49%,8,6229,778.6250
24-10-18,CCK,CrownCork&S,96.3,+2.46,2.62%,8049,46820,36.89%,+257.10%,1356,6693,4.9358
24-10-18,AKBA,AkebiaTherape,1.306,-0.02,-1.80%,1054,26384,9.61%,+256.08%,44,1010,22.9545
24-10-18,CLMT,CalumetInc,20.28,-1.59,-7.25%,24784,185135,69.16%,+237.56%,23198,1586,0.0684
24-10-18,ISRG,IntuitiveSurg,513.11,+39.38,8.31%,14952,78050,20.07%,+232.93%,10450,4502,0.4308
24-10-18,JBLU,JetblueAirway,7.8,+0.39,5.26%,53055,419323,31.90%,+232.32%,49656,3399,0.0685
24-10-18,WFRD,WeatherfordIn,88.13,-3.64,-3.96%,1011,4769,91.03%,+229.32%,1008,3,0.0030
24-10-18,BG,BungeLtd,90.11,-5.49,-5.74%,2229,35714,82.61%,+209.58%,1250,979,0.7832
24-10-18,ULCC,FrontierGroup,6.68,+0.33,5.20%,5895,27698,100.00%,+196.23%,5874,21,0.0036
24-10-18,NFLX,NetflixInc,760.54,+72.89,10.60%,278622,638584,42.00%,+195.38%,149634,128988,0.8620
24-10-18,IOVA,IovanceBiothe,11.07,+0.90,8.85%,17404,194612,40.33%,+182.53%,17250,154,0.0089
24-10-18,PCVX,VaxcyteInc,116.13,+0.52,0.45%,918,17949,18.67%,+181.60%,918,0,0.0000
24-10-18,LILM,LiliumN.V.,0.4917,-0.08,-14.53%,1311,40273,58.23%,+166.46%,1260,51,0.0405
24-10-18,LXRX,LexiconPharma,2.12,+0.11,5.47%,1525,37632,26.65%,+162.03%,1373,152,0.1107
24-10-18,ET,EnergyTransfe,16.45,-0.03,-0.21%,75392,1110678,54.97%,+151.00%,74516,876,0.0118
24-10-18,HST,HostMarriott,17.97,-0.08,-0.42%,5537,46365,65.57%,+145.22%,5537,0,0.0000
24-10-18,PTON,PelotonIntera,5.93,+0.66,12.62%,70703,677827,82.06%,+144.60%,67250,3453,0.0513
24-10-18,TER,TeradyneInc,126.97,-0.24,-0.18%,5137,54756,94.61%,+142.08%,128,5009,39.1328
24-10-18,HUMA,HumacyteInc,5.24,+0.38,7.74%,10923,74164,66.75%,+131.62%,9147,1776,0.1942
24-10-18,HUT,Hut8Corp,13.53,+0.86,6.79%,19229,225858,61.91%,+127.40%,13333,5896,0.4422
24-10-18,OKLO,OkloInc,18.68,+2.95,18.75%,74578,191628,78.88%,+116.17%,63433,11145,0.1757
24-10-18,LWLG,LightwaveLogi,3.99,+0.08,2.17%,1128,44093,25.90%,+110.06%,1089,39,0.0358
24-10-18,INSM,InsmedInc,75.09,+0.82,1.10%,2833,78509,11.58%,+105.29%,202,2631,13.0248
24-10-18,ACAD,AcadiaPharmac,15.07,-0.10,-0.66%,1516,20565,44.63%,+103.49%,1514,2,0.0013
24-10-18,QBTS,D-WaveQuantum,1.1492,+0.11,10.50%,1984,36652,8.31%,+101.01%,1352,632,0.4675
24-10-18,FIS,FidelityNatio,90.2,+0.28,0.31%,4550,54114,43.61%,+100.71%,4526,24,0.0053
