Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility,Delta
2024-06-2816:00 EST,"TSLA
watching",197.88,Put,182.5,6260,2024-07-05,7,0.55,0.56,0.57,0.56,4866,1.29,0.4581,-0.093105
2024-06-2816:00 EST,"TSLA
watching",197.88,Call,195,57120,2024-06-28,0,2.9,3,3.1,2.99,23844,2.4,0.2072,0.916276
2024-06-2816:00 EST,"NVDA
watching",123.47,Put,125,235745,2024-06-28,0,1.46,1.78,2.09,1.59,34150,6.9,0.1972,-0.88526
2024-06-2815:59 EST,WFC,59.39,Call,60,2933,2024-07-05,7,0.41,0.43,0.44,0.44,1325,2.21,0.2093,0.374991
2024-06-2815:59 EST,VAL,74.5,Call,75,3374,2024-07-19,21,2.1,2.25,2.4,2.2,445,7.58,0.3267,0.497188
2024-06-2815:59 EST,TSM,173.81,Put,177.5,1498,2024-06-28,0,2.93,3.64,4.35,3.65,591,2.53,0.5492,-0.76414
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,220,11777,2024-07-12,14,1.38,1.4,1.43,1.4,2982,3.95,0.4879,0.149213
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,210,9089,2024-07-12,14,2.99,3.05,3.1,3.05,4332,2.1,0.4708,0.2821
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,205,9157,2024-07-12,14,4.35,4.4,4.45,4.4,3302,2.77,0.4622,0.373466
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,217.5,8178,2024-07-05,7,0.58,0.6,0.61,0.6,248,32.98,0.5029,0.095453
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,212.5,7180,2024-07-05,7,1.03,1.05,1.07,1.07,498,14.42,0.4881,0.157286
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,210,1758,2024-07-05,7,12.5,13.53,14.55,13.25,360,4.88,0.4653,-0.812816
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,210,58434,2024-07-05,7,1.38,1.4,1.41,1.4,14804,3.95,0.4783,0.197924
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,207.5,17359,2024-07-05,7,1.83,1.86,1.89,1.84,3189,5.44,0.47,0.247892
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,200,72845,2024-07-05,7,4.1,4.15,4.2,4.15,23752,3.07,0.4598,0.452445
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,197.5,13943,2024-07-05,7,4.55,4.63,4.7,4.65,2350,5.93,0.4511,-0.470152
