Datetime,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,ATR,vol_vs_avrg_vol,SMA_20,SMA_50,SMA_200,SMA_65,desc_number
2024-11-25 12:30:00-05:00,30m,NVDA,136.9698944091797,137.5500030517578,136.4499969482422,137.48550415039062,13467912,20899478.4,33.34501869769801,1.5169125507310093,0.644413785944055,140.69130020141603,143.4506362915039,,143.20950012207032,120
2024-11-25 13:00:00-05:00,30m,NVDA,137.47999572753906,137.88999938964844,137.0800018310547,137.0897979736328,12386998,21172770.7,32.142385537021894,1.466418622721205,0.5850437892854524,140.30328979492188,143.27174011230468,,143.16713538536658,119
2024-11-25 13:30:00-05:00,30m,NVDA,137.0800018310547,137.1999969482422,136.375,136.58009338378906,11070880,21212661.4,30.61091408312258,1.4206027888298467,0.5218996235898999,139.99504470825195,143.07234008789064,,143.1090599646935,118
2024-11-25 14:00:00-05:00,30m,NVDA,136.5800018310547,136.9600067138672,136.3000030517578,136.927001953125,10742590,20467401.7,32.952419034137435,1.3662742797783844,0.5248633977804814,139.65789489746095,142.87818206787108,,143.06624450683594,117
2024-11-25 14:30:00-05:00,30m,NVDA,136.9199981689453,137.4149932861328,136.74000549316406,136.79989624023438,9056861,14790656.1,32.51942540781826,1.3168966735776964,0.6123366630098309,139.38389434814454,142.6743798828125,,143.01378126878004,116
2024-11-25 15:00:00-05:00,30m,NVDA,136.8000030517578,136.83999633789062,136.35000610351562,136.72500610351562,11357215,13112319.5,32.250534968296265,1.257831927920361,0.8661484339212449,139.11114501953125,142.5254800415039,,142.94031982421876,115
2024-11-25 15:30:00-05:00,30m,NVDA,136.72999572753906,137.14830017089844,135.82000732421875,135.94000244140625,25894894,13445302.3,29.49728127849896,1.2628648506888844,1.9259436063404836,138.80328521728515,142.36759002685548,,142.87478144719051,114
2024-11-26 09:30:00-05:00,30m,NVDA,137.69000244140625,139.3000030517578,136.62130737304688,137.16000366210938,47969147,16833272.7,38.31155255913081,1.4126602620933615,2.8496625614578206,138.55753555297852,142.1935900878906,,142.7952430138221,113
2024-11-26 10:00:00-05:00,30m,NVDA,137.2100067138672,137.67999267578125,136.30999755859375,136.96310424804688,21472319,17734383.6,37.49676719982389,1.4096127517429429,1.2107733476566955,138.30619049072266,142.0370523071289,,142.70267545259915,112
2024-11-26 10:30:00-05:00,30m,NVDA,136.97999572753906,137.1699981689453,136.1699981689453,136.19500732421875,15500125,17891894.1,34.421391535254415,1.3803546980470183,0.8663210788845435,138.0189407348633,141.84665252685548,,142.57798485389122,111
2024-11-26 11:00:00-05:00,30m,NVDA,136.17999267578125,137.06500244140625,136.1699981689453,136.9250030517578,11836483,17728751.2,39.50004277991265,1.3456868105051554,0.6676433588847477,137.7921905517578,141.67895050048827,,142.47406193659856,110
2024-11-26 11:30:00-05:00,30m,NVDA,136.91000366210938,137.13999938964844,136.55999755859375,136.98989868164062,8322583,17322309.7,39.945302078075265,1.2909950262586933,0.48045457817902887,137.5371856689453,141.52222442626953,,142.37570354755107,109
2024-11-26 12:00:00-05:00,30m,NVDA,136.98500061035156,137.0800018310547,136.47999572753906,136.81619262695312,7545179,16969739.6,39.11546915500707,1.2416386746341885,0.44462550268007645,137.27799530029296,141.3581283569336,,142.2713371863732,108
2024-11-26 12:30:00-05:00,30m,NVDA,136.8249969482422,137.10000610351562,136.7100067138672,137.0,5653561,16460836.7,40.5234709942362,1.1808072971352064,0.34345526312158847,137.03299560546876,141.2097302246094,,142.16426180326022,107
2024-11-26 13:00:00-05:00,30m,NVDA,136.99000549316406,137.02999877929688,136.375,136.63499450683594,6481608,16203311.4,38.61379411321223,1.14324954586104,0.4000174927206546,136.9792449951172,141.07303009033203,,142.04142784705527,106
2024-11-26 13:30:00-05:00,30m,NVDA,136.6300048828125,136.85499572753906,136.4199981689453,136.80999755859375,5111844,15578774.3,40.07198392244399,1.0926601181990907,0.32812876684400005,136.96124496459962,140.92322601318358,,141.90904329740084,105
2024-11-26 14:00:00-05:00,30m,NVDA,136.80999755859375,136.85000610351562,135.6699981689453,135.9600067138672,9841923,13973477.2,35.64330184385871,1.0988992479398922,0.7043288409272962,136.8891403198242,140.75302612304688,,141.75404944786658,104
2024-11-26 14:30:00-05:00,30m,NVDA,135.9499969482422,136.36500549316406,135.80999755859375,136.2949981689453,6872732,9863835.7,38.52682516488001,1.0600498684134938,0.6967605918253484,136.7899253845215,140.56032623291014,,141.59627873347355,103
2024-11-26 15:00:00-05:00,30m,NVDA,136.2899932861328,136.84500122070312,136.19500732421875,136.83990478515625,6783171,8394920.9,43.00058959742079,1.0307601561328423,0.808008923586165,136.75492095947266,140.38352447509766,,141.44558645395134,102
2024-11-26 15:30:00-05:00,30m,NVDA,136.8350067138672,137.10000610351562,136.55999755859375,136.82000732421875,13840913,8228999.7,42.87787929409556,0.9957064696177732,1.681967858134689,136.74782104492186,140.2960046386719,,141.28912494365986,101
2024-11-27 09:30:00-05:00,30m,NVDA,135.00999450683594,135.1199951171875,133.39999389648438,133.99009704589844,44533848,11498736.2,29.836695189819892,1.1688712523403877,3.8729341403623123,136.57305068969725,140.0887664794922,,141.13251108022837,100
2024-11-27 10:00:00-05:00,30m,NVDA,133.99000549316406,134.0240020751953,132.25,132.35989379882812,27799444,13446422.3,25.10058917831911,1.2120948825443107,2.06742309439441,136.33655548095703,139.83632446289062,,140.95597862830527,99
2024-11-27 10:30:00-05:00,30m,NVDA,132.3780975341797,133.0800018310547,132.00999450683594,132.72500610351562,18026764,14494580.8,27.862448133153734,1.2019457712353423,1.2436899175449074,136.14380111694337,139.61847045898438,,140.7539017897386,98
2024-11-27 11:00:00-05:00,30m,NVDA,132.72000122070312,133.0800018310547,132.0,132.4149932861328,16322474,15561472.1,26.95362749572334,1.1932354897938668,1.0489029505119891,135.91820068359374,139.3811703491211,,140.56351717435396,97
2024-11-27 11:30:00-05:00,30m,NVDA,132.41000366210938,132.7899932861328,132.1999969482422,132.3137969970703,10352943,15948605.6,26.648069063592672,1.1501469789436354,0.6491440856748003,135.69389572143555,139.14574615478514,,140.3573448768029,96
2024-11-27 12:00:00-05:00,30m,NVDA,132.31900024414062,132.63999938964844,131.89999389648438,132.59500122070312,10200416,16457462.8,29.05487752447526,1.1208511585308087,0.6198048948347007,135.4873954772949,138.8940463256836,,140.16172790527344,95
2024-11-27 12:30:00-05:00,30m,NVDA,132.58999633789062,133.0800018310547,132.22999572753906,133.04110717773438,8252388,16298509.3,32.82075317710135,1.1015050831725814,0.5063277780870425,135.34245071411132,138.60796844482422,,139.980418748122,94
2024-11-27 13:00:00-05:00,30m,NVDA,133.0413055419922,133.65989685058594,132.83999633789062,133.65989685058594,9367131,16547949.2,37.75622919157442,1.0813904709956337,0.5660599320669899,135.16744537353514,138.33913452148437,,139.80563260591947,93
2024-11-27 13:30:00-05:00,30m,NVDA,133.65089416503906,134.42999267578125,133.6199951171875,134.21499633789062,11235399,16993172.0,41.88121886320736,1.0620052629669277,0.6611713810699968,135.03003997802733,138.06833435058593,,139.648633986253,92
2024-11-27 14:00:00-05:00,30m,NVDA,134.22000122070312,134.57000732421875,134.0,134.14999389648438,8482195,16457300.2,41.53410231009797,1.0268625530563436,0.5154062268366473,134.92778930664062,137.78783416748047,,139.5052492581881,91
2024-11-27 14:30:00-05:00,30m,NVDA,134.14500427246094,134.60000610351562,133.97999572753906,134.34500122070312,7192199,12723135.3,43.05881649207192,0.9978016832649307,0.5652851149040283,134.79878921508788,137.5421340942383,,139.35209233210637,90
2024-11-27 15:00:00-05:00,30m,NVDA,134.34500122070312,135.1699981689453,134.2949981689453,134.4398956298828,12043044,11147495.3,43.826516527196205,0.9890301344602929,1.080336315548839,134.6712890625,137.33393188476563,,139.19778301532452,89
2024-11-27 15:30:00-05:00,30m,NVDA,134.43499755859375,135.4199981689453,134.17999267578125,135.4199981689453,14427684,10787587.3,51.15186999109876,1.0069569457962764,1.3374338115437545,134.60147933959962,137.18743194580077,,139.03609079214243,88
2024-11-29 09:30:00-05:00,30m,NVDA,136.85000610351562,138.49000549316406,136.0500030517578,138.47760009765625,35315189,12686858.8,66.03330073357037,1.1543176871121672,2.783603849993191,134.67535934448242,137.083583984375,,138.92528475247897,87
2024-11-29 10:00:00-05:00,30m,NVDA,138.47500610351562,139.35000610351562,138.0,138.6750030517578,22408115,13892376.0,66.73783901084951,1.1682954311409854,1.6129793060596689,134.77735977172853,137.0114859008789,,138.88650019719051,86
2024-11-29 10:30:00-05:00,30m,NVDA,138.6699981689453,139.14999389648438,138.25,138.389892578125,13415052,14213839.6,64.65201566558193,1.1491310358083704,0.9438021236710734,134.8563545227051,136.9356838989258,,138.794775390625,85
2024-11-29 11:00:00-05:00,30m,NVDA,138.38499450683594,138.77000427246094,138.1999969482422,138.35000610351562,10191214,14407722.2,64.34901439629441,1.107765056409112,0.7073438714691487,134.9758544921875,136.86074005126954,,138.69274479792668,84
2024-11-29 11:30:00-05:00,30m,NVDA,138.35000610351562,139.01919555664062,138.1300048828125,138.89999389648438,9584556,14429464.7,66.66868793887505,1.09215260051047,0.6642350356905479,135.10610427856446,136.79723999023437,,138.62016460712138,83
2024-11-29 12:00:00-05:00,30m,NVDA,138.88999938964844,139.0800018310547,138.52000427246094,138.82000732421875,9675296,14273454.4,65.99614101738533,1.054141526087847,0.6778524475476658,135.2051094055176,136.73384002685546,,138.53616473858173,82
2024-11-29 12:30:00-05:00,30m,NVDA,138.81500244140625,139.02999877929688,138.24000549316406,138.27999877929688,14114677,14836702.6,61.48643507772287,1.0352737946624875,0.9513351706598203,135.2781089782715,136.66063995361327,,138.44685692420373,81
2024-12-02 09:30:00-05:00,30m,NVDA,138.83999633789062,140.4499969482422,138.08999633789062,139.82000732421875,39746728,18092155.5,68.16701582466754,1.1298971386402785,2.196903956524141,135.5696044921875,136.6278399658203,,138.36439561110276,80
2024-12-02 10:00:00-05:00,30m,NVDA,139.8800048828125,140.3699951171875,139.14999389648438,139.1699981689453,14024201,18290271.2,63.18510195772935,1.1363331445019103,0.7667574114483333,135.91010971069335,136.5694400024414,,138.23862633338342,79
2024-12-02 10:30:00-05:00,30m,NVDA,139.16000366210938,139.2698974609375,138.3000030517578,138.53990173339844,14257858,18273288.6,58.70613695997573,1.1244446634074658,0.780256817046057,136.2008544921875,136.50023803710937,,138.10690800593449,78
2024-12-02 11:00:00-05:00,30m,NVDA,138.5500030517578,139.27000427246094,138.52499389648438,138.99400329589844,7686969,15510466.6,60.85951292122128,1.0973422143052585,0.49559882357117485,136.5298049926758,136.44211822509766,,137.9721233661358,77
2024-12-02 11:30:00-05:00,30m,NVDA,138.98989868164062,139.5399932861328,138.72000122070312,139.2698974609375,7382262,14007881.3,62.15092205642586,1.0775314893855747,0.5270077495588144,136.87761001586915,136.47331604003907,,137.83512174166165,76
2024-12-02 12:00:00-05:00,30m,NVDA,139.24000549316406,139.64990234375,139.08999633789062,139.1649932861328,7351123,13401488.4,61.322423270217335,1.0405582405622746,0.5485303408537816,137.20610961914062,136.5132159423828,,137.72027540940505,75
2024-12-02 12:30:00-05:00,30m,NVDA,139.1699981689453,139.22999572753906,138.75999450683594,138.76870727539062,6140556,12996422.6,58.167937184291254,0.9998041677151924,0.47248048089787414,137.49248962402345,136.54054809570312,,137.62671696589544,74
2024-12-02 13:00:00-05:00,30m,NVDA,138.75999450683594,138.88999938964844,138.2899932861328,138.2949981689453,7372592,12775226.2,54.55522523076014,0.971247163129509,0.577100701355879,137.7242446899414,136.54086212158202,,137.55825547438403,73
2024-12-02 13:30:00-05:00,30m,NVDA,138.3000030517578,138.83999633789062,137.94000244140625,138.5836944580078,8146240,12622320.6,56.33512696559554,0.966157644083428,0.6453837022647009,137.94267959594725,136.56173614501952,,137.4800046480619,72
2024-12-02 14:00:00-05:00,30m,NVDA,138.59500122070312,138.59500122070312,137.8249969482422,138.12860107421875,6653256,11876178.5,52.822932286655956,0.9521466889675357,0.5602185922011866,138.141609954834,136.5850680541992,,137.4161383995643,71
2024-12-02 14:30:00-05:00,30m,NVDA,138.1260986328125,138.57000732421875,138.0800018310547,138.56649780273438,4751695,8376675.2,55.685780174298856,0.919136603553002,0.5672531029972369,138.35268478393556,136.6066879272461,,137.3605461707482,70
