,Datetime,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,ATR,vol_vs_avrg_vol,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,be_signal,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,bu_signal,Combined_Signals_65
832,2024-12-09 13:00:00-05:00,30m,META,610.1599731445312,611.47998046875,609.5,611.1799926757812,330534,834945.6,40.32177796437064,3.732172987691223,0.395874892927156,619.7092315673829,614.494013671875,579.3665704345703,611.0599787785457,8,77.06811549654651,624.3099975585938,37.46662541552892,610.25,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
833,2024-12-09 13:30:00-05:00,30m,META,611.0900268554688,613.8399047851562,610.830078125,613.1950073242188,443037,827646.9,45.22429802605544,3.680576821438725,0.5352971176476345,619.1684814453125,614.5695874023437,579.5579956054687,611.398979304387,7,77.06811549654651,624.3099975585938,37.46662541552892,610.25,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
837,2024-12-09 15:30:00-05:00,30m,META,610.3300170898438,613.9199829101562,610.3300170898438,613.8099975585938,950060,508122.8,48.71620100756755,3.42241529223872,1.869744872696128,616.6224792480468,614.4393884277343,580.3821115112305,612.634526179387,3,77.06811549654651,624.3099975585938,39.90680384260475,609.5800170898438,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
838,2024-12-10 09:30:00-05:00,30m,META,617.4000244140625,624.0800170898438,613.0,622.739990234375,2168507,625028.6,63.29339736243077,3.969386849210508,3.469452437856444,616.5296844482422,614.6969885253907,580.6800500488281,613.0762178861178,2,77.06811549654651,624.3099975585938,39.90680384260475,609.5800170898438,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
839,2024-12-10 10:00:00-05:00,30m,META,622.614990234375,625.5900268554688,622.1002807617188,624.2999877929688,621128,644097.6,65.1566478520514,3.935126795249043,0.9643383238813495,616.4483703613281,615.0101879882812,580.9808993530273,613.498525766226,1,77.06811549654651,624.3099975585938,39.90680384260475,609.5800170898438,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
1607,2024-12-02 13:00:00-05:00,30m,CLSK,14.5,14.599900245666504,14.359999656677246,14.362700462341309,1866143,3749747.9,48.33751943065087,0.4287666638776587,0.4976715901354328,14.552524995803832,14.260962028503418,,14.37963385948768,73,63.50589000341139,15.399999618530272,52.43594049352716,14.229999542236328,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
1609,2024-12-02 14:00:00-05:00,30m,CLSK,14.399999618530272,14.399999618530272,14.109999656677246,14.18000030517578,1980977,3513702.5,45.44757687638747,0.4056028844620666,0.5637862055765962,14.595265007019044,14.222390022277832,,14.395223089364858,71,63.50589000341139,15.399999618530272,52.43594049352716,14.229999542236328,1,0,0,2,1,Sell,0,1,0,0,0,0,Sell
1610,2024-12-02 14:30:00-05:00,30m,CLSK,14.18000030517578,14.31999969482422,14.164999961853027,14.3100004196167,1419517,2468930.2,47.83287451472538,0.3877026593555755,0.5749522606997962,14.61421504020691,14.205190029144289,,14.39560771355262,70,63.50589000341139,15.399999618530272,52.43594049352716,14.229999542236328,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
1906,2024-12-09 10:00:00-05:00,30m,RCL,255.0,256.2449951171875,248.58999633789065,249.22999572753903,524382,281873.6,35.01904838658294,1.8367469332029889,1.8603444948374024,254.33850555419923,250.92465240478515,241.59524230957032,249.9639573317308,14,76.78851710524627,258.2099914550781,54.30917643066573,250.3300018310547,1,0,0,2,1,Sell,0,1,0,0,0,0,Sell
1907,2024-12-09 10:30:00-05:00,30m,RCL,249.25,249.9900054931641,243.7899932861328,245.2554931640625,848388,352334.8,27.555345156063996,2.1484087384764363,2.4079029377739585,253.9997802734375,250.93056213378907,241.6495198059082,249.9761955848107,13,76.78851710524627,258.2099914550781,27.555345156063996,243.7899932861328,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
1908,2024-12-09 11:00:00-05:00,30m,RCL,246.0749969482422,247.22000122070312,244.8300018310547,246.91000366210935,403308,380848.8,33.87358927569912,2.16566521356015,1.0589714343329952,253.7317802429199,250.95376220703125,241.7171254730225,249.98258643517127,12,76.78851710524627,258.2099914550781,27.555345156063996,243.7899932861328,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
1909,2024-12-09 11:30:00-05:00,30m,RCL,246.9850006103516,249.0500030517578,246.7700042724609,248.68499755859372,307374,400897.0,39.92676262603512,2.17383189682706,0.7667156401769033,253.5612800598145,251.00546203613283,241.7931004333496,250.00558636005107,11,76.78851710524627,258.2099914550781,27.555345156063996,243.7899932861328,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
