,Datetime,Interval,Ticker,Combined_Signals_65,bu_signal,be_signal,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Open,High,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff,SMA_65_trend
76,13/09:30,30m,ANF,Buy,Buy,0,2.62,1.32,64.48,138.04,140.75,137.81,140.65,153240,116462.6,1.38,136.77,138.54,147.66,137.05,13,64.48,140.75,28.68,133.81,0,0,0,0,0,1,0,0,2,1,0.0599998705314988,Up
134,13/13:00,30m,ASTS,Buy,Buy,0,0.3,0.41,50.73,23.37,23.65,23.27,23.64,150127,362487.8,0.36,23.47,24.12,24.01,23.57,6,50.73,23.65,31.17,22.87,0,0,0,0,0,1,0,0,2,1,-0.01271513736609,Down
135,13/15:30,30m,ASTS,Buy,Buy,0,0.03,2.06,49.69,23.14,23.55,23.13,23.49,499689,242866.2,0.34,23.33,23.84,24.01,23.48,1,50.73,23.65,40.81,23.14,1,0,0,0,0,1,0,0,2,1,-0.0090909437699728,Down
180,13/09:30,30m,BFH,Sell,0,Sell,-0.2,0.53,45.75,66.02,66.1,65.32,65.6,30242,57020.6,0.45,66.21,65.39,61.05,65.73,13,68.17,66.43,45.75,65.32,1,0,0,2,1,0,0,0,0,0,0.0362121119643745,Up
181,13/10:00,30m,BFH,Sell,0,Sell,-0.02,0.58,48.4,65.64,65.86,65.52,65.76,31383,53666.1,0.44,66.2,65.42,61.09,65.77,12,68.17,66.43,45.75,65.32,1,0,0,2,1,1,0,0,0,0,0.0357575850053279,Up
182,13/10:30,30m,BFH,Sell,0,Sell,-0.27,0.5,46.27,65.75,65.88,65.57,65.62,27237,54720.7,0.43,66.18,65.43,61.13,65.8,11,68.17,66.43,45.75,65.32,1,0,0,2,1,1,0,0,0,0,0.0265151515151416,Up
183,13/13:00,30m,BFH,Sell,0,Sell,-0.33,0.24,48.07,65.97,66.0,65.73,65.78,10768,44678.1,0.4,66.12,65.54,61.34,65.99,6,55.58,66.23,45.75,65.32,1,0,0,2,1,1,0,0,0,0,0.0283334905450942,Up
243,13/12:00,30m,BXMT,Sell,0,Sell,-0.01,0.75,50.74,19.17,19.18,19.12,19.15,59020,78743.8,0.09,19.17,19.06,18.93,19.15,8,60.3,19.31,49.81,18.98,1,0,0,2,1,1,0,0,0,0,0.0077030297481641,Up
244,13/12:30,30m,BXMT,Sell,0,Sell,-0.22,0.38,48.01,19.14,19.15,19.08,19.11,29458,77475.9,0.09,19.17,19.06,18.93,19.16,7,60.3,19.31,48.01,19.08,1,0,0,2,1,0,0,0,0,0,0.0053030071836523,Up
245,13/13:00,30m,BXMT,Sell,0,Sell,-0.11,0.32,49.3,19.11,19.13,19.11,19.13,23463,73643.0,0.08,19.17,19.06,18.93,19.15,6,60.3,19.31,48.01,19.08,1,0,0,2,1,1,0,0,0,0,-0.0056061022209377,Down
254,13/10:00,30m,CALX,Sell,0,Sell,-0.06,0.83,47.52,35.75,35.78,35.35,35.44,27977,33616.0,0.3,35.68,35.3,33.49,35.46,12,66.72,36.14,59.47,35.63,1,0,0,2,1,0,1,0,0,0,0.010454582445547,Up
270,13/11:30,30m,CERT,Sell,0,Sell,-0.22,0.89,44.91,11.51,11.61,11.37,11.43,125374,141349.1,0.14,11.54,11.47,10.98,11.45,9,67.13,11.78,53.98,11.48,1,0,0,2,1,0,1,0,0,0,-0.0043939243663437,Down
271,13/12:00,30m,CERT,Sell,0,Sell,-0.2,0.93,44.91,11.41,11.47,11.29,11.43,141797,151803.9,0.14,11.55,11.47,10.99,11.45,8,67.13,11.78,53.98,11.48,1,0,0,2,1,0,1,0,0,0,-0.0025757587317265,Down
305,13/14:00,30m,CLOV,Buy,Buy,0,0.44,0.89,54.06,3.05,3.11,3.04,3.1,282678,315896.9,0.04,3.04,3.12,3.34,3.08,4,40.78,3.18,19.95,2.96,0,0,0,0,0,1,0,0,2,1,-0.0007575714226928,Down
350,13/11:30,30m,CVE,Buy,Buy,0,0.96,1.51,62.6,15.11,15.36,15.11,15.32,983158,650900.9,0.1,15.16,15.2,15.6,15.17,9,62.6,15.36,36.7,15.01,0,0,0,0,0,1,0,0,2,1,0.0021212028734591,Up
351,13/12:00,30m,CVE,Buy,Buy,0,0.45,0.91,55.7,15.32,15.33,15.2,15.24,619855,680730.7,0.1,15.16,15.2,15.6,15.18,8,62.6,15.36,36.7,15.01,1,0,0,0,0,1,0,0,2,1,0.0019696842540408,Up
352,13/12:30,30m,CVE,Buy,Buy,0,0.46,1.18,56.04,15.24,16.62,15.22,15.25,825543,701366.7,0.19,15.15,15.19,15.59,15.18,7,62.6,15.36,36.7,15.01,1,0,0,0,0,1,0,0,2,1,0.0042424346461427,Up
353,13/13:00,30m,CVE,Buy,Buy,0,0.47,0.75,56.41,15.25,15.28,15.23,15.26,532588,711394.5,0.18,15.16,15.19,15.59,15.18,6,62.6,15.36,36.7,15.01,1,0,0,0,0,1,0,0,2,1,0.0024242401123046,Up
354,13/13:30,30m,CVE,Buy,Buy,0,0.26,0.44,53.51,15.26,15.26,15.22,15.23,313579,709840.2,0.17,15.17,15.19,15.58,15.19,5,62.6,15.36,53.51,15.22,1,0,0,0,0,0,0,0,2,1,0.0024242401123046,Up
355,13/14:00,30m,CVE,Buy,Buy,0,0.56,0.46,57.44,15.23,15.27,15.22,15.27,272505,589526.1,0.16,15.17,15.19,15.58,15.19,4,62.6,15.36,53.51,15.22,1,0,0,0,0,1,0,0,2,1,0.0039393685080799,Up
356,13/14:30,30m,CVE,Buy,Buy,0,0.64,1.1,58.57,15.28,15.3,15.26,15.29,635242,577505.4,0.15,15.18,15.2,15.58,15.19,3,62.6,15.36,53.51,15.22,1,0,0,0,0,1,0,0,2,1,0.0034787727124747,Up
357,13/15:00,30m,CVE,Buy,Buy,0,0.56,0.77,57.48,15.29,15.29,15.25,15.28,449995,582795.8,0.15,15.18,15.2,15.57,15.2,2,62.6,15.36,53.51,15.22,1,0,0,0,0,1,0,0,2,1,0.0022727214928828,Up
358,13/15:30,30m,CVE,Buy,Buy,0,0.35,2.11,54.2,15.27,15.28,15.21,15.25,1405303,667061.3,0.14,15.19,15.2,15.56,15.2,1,62.6,15.36,53.51,15.22,1,0,0,0,0,1,0,0,2,1,0.001515157294996,Up
376,13/15:00,30m,DAN,Buy,Buy,0,0.28,1.57,54.94,12.65,12.72,12.6,12.71,156001,99479.7,0.11,12.55,12.78,11.3,12.67,2,54.94,12.72,27.02,12.32,0,0,0,0,0,1,0,0,2,1,-0.0093939521095975,Down
377,13/15:30,30m,DAN,Buy,Buy,0,0.18,2.64,53.55,12.7,12.72,12.66,12.69,341635,129230.5,0.1,12.55,12.78,11.33,12.67,1,54.94,12.72,27.02,12.32,1,0,0,0,0,1,0,0,2,1,-0.0069697119972946,Down
384,13/09:30,30m,DLX,Sell,0,Sell,-2.41,0.56,32.01,23.48,23.61,23.25,23.25,11034,19877.4,0.17,23.91,23.73,23.4,23.82,13,69.61,24.24,47.9,23.63,1,0,0,2,1,0,1,0,0,0,-0.0127272750392108,Down
385,13/10:00,30m,DLX,Sell,0,Sell,-3.34,1.24,27.97,23.28,23.29,22.94,23.01,26693,21502.9,0.18,23.87,23.72,23.4,23.8,12,69.61,24.24,27.97,22.94,1,0,0,2,1,0,0,0,0,0,-0.0199999953761249,Down
386,13/10:30,30m,DLX,Sell,0,Sell,-2.56,1.31,34.29,23.01,23.19,22.94,23.18,31675,24200.3,0.19,23.83,23.72,23.41,23.79,11,69.61,24.24,27.97,22.94,1,0,0,2,1,1,0,0,0,0,-0.0160605690696016,Down
387,13/11:00,30m,DLX,Sell,0,Sell,-1.96,0.22,38.72,23.2,23.31,23.17,23.31,4374,19950.7,0.18,23.8,23.71,23.41,23.78,10,69.61,24.24,27.97,22.94,1,0,0,2,1,1,0,0,0,0,-0.0133333495168983,Down
388,13/11:30,30m,DLX,Sell,0,Sell,-2.13,0.51,37.57,23.3,23.3,23.23,23.25,10118,19990.1,0.18,23.77,23.71,23.41,23.76,9,69.61,24.24,27.97,22.94,1,0,0,2,1,1,0,0,0,0,-0.0150000254313162,Down
389,13/12:00,30m,DLX,Sell,0,Sell,-2.41,0.21,35.89,23.23,23.23,23.14,23.17,4031,19301.6,0.17,23.73,23.7,23.42,23.75,8,69.61,24.24,27.97,22.94,1,0,0,2,1,1,0,0,0,0,-0.012121258359965,Down
390,13/12:30,30m,DLX,Sell,0,Sell,-2.22,0.44,37.21,23.2,23.21,23.06,23.21,8359,18971.4,0.17,23.7,23.69,23.42,23.74,7,69.61,24.24,27.97,22.94,1,0,0,2,1,1,0,0,0,0,-0.0112121466434373,Down
418,13/09:30,30m,EFC,Sell,0,Sell,-0.35,1.57,40.15,12.32,12.33,12.26,12.28,50610,32231.6,0.03,12.33,12.32,12.35,12.33,13,51.74,12.34,45.22,12.26,1,0,0,2,1,0,0,0,0,0,-0.0014545556270704,Down
419,13/10:00,30m,EFC,Sell,0,Sell,-0.53,1.53,35.9,12.28,12.28,12.25,12.26,54339,35548.7,0.03,12.33,12.32,12.35,12.33,12,51.74,12.34,35.9,12.25,1,0,0,2,1,0,0,0,0,0,-0.0022515094641484,Down
461,13/10:00,30m,EVRI,Buy,Buy,0,0.01,0.18,50.78,13.47,13.47,13.47,13.47,4115,23086.3,0.01,13.47,13.47,13.45,13.47,12,50.78,13.47,40.53,13.45,0,1,0,0,0,1,0,0,2,1,0.0003030372388419,Up
463,13/11:30,30m,F,Buy,Buy,0,0.21,1.31,51.07,10.39,10.44,10.38,10.41,3894053,2979269.0,0.05,10.39,10.48,10.8,10.39,9,51.07,10.44,39.42,10.32,0,0,0,0,0,1,0,0,2,1,-0.0074272733746134,Down
464,13/15:30,30m,F,Buy,Buy,0,0.06,2.45,49.96,10.38,10.4,10.35,10.39,5561019,2267151.2,0.04,10.37,10.44,10.79,10.38,1,49.96,10.4,42.4,10.32,0,0,0,0,0,1,0,0,2,1,0.0013636386755742,Up
483,13/11:30,30m,FG,Buy,Buy,0,0.1,0.29,52.84,44.32,44.58,44.24,44.58,1049,3630.1,0.37,44.33,44.6,46.69,44.54,9,52.84,44.58,30.88,43.82,0,1,0,0,0,1,0,0,2,1,-0.0010241884173751,Down
624,13/14:00,30m,INFN,Buy,Buy,0,0.12,3.11,58.65,6.59,6.61,6.58,6.61,207673,66755.4,0.01,6.59,6.6,6.62,6.6,4,42.5,6.6,31.89,6.58,0,1,0,0,0,1,0,0,2,1,-0.0004545414086534,Down
625,13/14:30,30m,INFN,Buy,Buy,0,0.19,0.54,61.61,6.6,6.61,6.6,6.61,36713,68547.9,0.01,6.59,6.6,6.62,6.6,3,42.5,6.6,31.89,6.58,0,1,0,0,0,1,0,0,2,1,-3.0344182802011237e-06,Down
626,13/15:00,30m,INFN,Buy,Buy,0,0.19,1.05,61.61,6.6,6.61,6.6,6.61,62155,59102.1,0.01,6.59,6.6,6.62,6.6,2,61.61,6.61,31.89,6.58,0,1,0,0,0,1,0,0,2,1,-0.0003030372388437,Down
627,13/15:30,30m,INFN,Buy,Buy,0,0.05,1.75,52.76,6.61,6.61,6.6,6.6,116331,66521.4,0.01,6.59,6.6,6.62,6.6,1,61.61,6.61,31.89,6.58,1,0,0,0,0,1,0,0,2,1,-0.0004545414086543,Down
628,13/15:30,30m,IOT,Buy,Buy,0,0.52,3.84,54.42,45.52,46.08,45.5,46.08,904245,235515.4,0.37,45.72,45.73,52.06,45.84,1,45.64,45.65,34.69,45.06,0,1,0,0,0,1,0,0,2,1,0.012575785319008,Up
656,13/09:30,30m,KC,Sell,0,Sell,-0.29,2.6,44.52,9.27,9.39,9.16,9.25,604869,232520.5,0.15,9.41,9.2,7.77,9.28,13,68.05,9.6,55.56,9.15,1,0,0,2,1,0,0,0,0,0,0.0055545460094101,Up
