,Datetime,Interval,Ticker,Combined_Signals_65,bu_signal,be_signal,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Open,High,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff,SMA_65_trend
25,12/10:30,30m,AA,Buy,Buy,0,-6.9,0.69,26.54,39.4,39.42,39.13,39.26,221123,322206.3,0.36,39.89,41.4,44.78,42.17,6,32.47,39.89,19.76,39.35,1,0,0,0,1,1,1,1,2,0,-0.0935969426081726,Down
26,12/11:00,30m,AA,Buy,Buy,0,-6.83,1.05,25.85,39.23,39.29,39.05,39.2,357626,341105.7,0.35,39.8,41.33,44.75,42.07,5,32.47,39.89,19.76,39.35,1,0,0,0,1,1,1,1,2,0,-0.0975384638859679,Down
27,12/11:30,30m,AA,Buy,Buy,0,-6.78,0.58,25.03,39.21,39.24,39.04,39.13,196236,335921.5,0.34,39.71,41.25,44.72,41.98,4,32.47,39.89,25.03,39.04,1,0,0,0,1,0,0,0,2,0,-0.0986153822678801,Down
28,12/12:00,30m,AA,Buy,Buy,0,-6.28,0.55,29.18,39.14,39.36,39.14,39.25,184804,335477.4,0.33,39.63,41.18,44.69,41.88,3,32.47,39.89,25.03,39.04,1,0,0,0,1,1,0,0,2,0,-0.0966138399564258,Down
29,12/12:30,30m,AA,Buy,Buy,0,-5.86,0.33,31.88,39.26,39.33,39.14,39.33,107810,328798.2,0.32,39.55,41.11,44.67,41.78,2,32.47,39.89,25.03,39.04,1,0,0,0,1,1,0,0,2,0,-0.0996799762432445,Down
30,12/13:00,30m,AA,Buy,Buy,0,-5.66,0.07,31.71,39.33,39.36,39.3,39.32,20668,304701.1,0.3,39.53,41.04,44.64,41.68,1,32.47,39.89,25.03,39.04,1,0,0,0,1,1,0,0,2,0,-0.0989246074969898,Down
132,12/13:00,30m,ACVA,Buy,Buy,0,-3.28,0.03,33.91,21.22,21.22,21.17,21.19,1975,67934.4,0.19,21.54,21.84,22.25,21.91,1,54.8,21.91,33.02,21.19,1,0,0,0,1,1,1,1,2,0,-0.0153153639573275,Down
184,12/09:30,30m,ADEA,Sell,0,Sell,3.86,0.97,59.23,13.97,14.06,13.89,14.02,34454,35380.7,0.12,13.86,13.59,12.6,13.49,8,72.21,14.19,54.62,13.83,1,0,0,2,0,1,0,0,0,1,0.0090769254244271,Up
185,12/10:00,30m,ADEA,Sell,0,Sell,4.97,1.06,64.37,14.01,14.18,13.98,14.18,39434,37109.1,0.13,13.89,13.6,12.61,13.51,7,72.21,14.19,54.62,13.83,1,0,0,2,0,1,0,0,0,1,0.0144615466778095,Up
186,12/10:30,30m,ADEA,Sell,0,Sell,5.65,1.1,67.33,14.16,14.29,14.14,14.29,43518,39674.4,0.13,13.92,13.62,12.63,13.53,6,72.21,14.19,54.62,13.83,1,1,1,2,0,1,0,0,0,1,0.0178461514986487,Up
187,12/11:00,30m,ADEA,Sell,0,Sell,6.09,0.39,69.33,14.29,14.39,14.29,14.37,15618,40139.3,0.13,13.96,13.65,12.64,13.54,5,69.33,14.39,54.62,13.83,0,0,0,2,0,1,0,0,0,1,0.0185415414663463,Up
188,12/11:30,30m,ADEA,Sell,0,Sell,5.44,0.81,65.56,14.35,14.38,14.25,14.3,32639,40330.2,0.13,13.99,13.67,12.66,13.56,4,69.33,14.39,54.62,13.83,1,0,0,2,0,1,0,0,0,1,0.016780002300555,Up
189,12/12:00,30m,ADEA,Sell,0,Sell,5.96,0.52,67.97,14.31,14.41,14.27,14.39,21364,41305.7,0.13,14.02,13.69,12.67,13.58,3,69.33,14.39,54.62,13.83,1,1,1,2,0,1,0,0,0,1,0.01923076923077,Up
190,12/12:30,30m,ADEA,Sell,0,Sell,5.01,0.54,62.23,14.36,14.37,14.26,14.28,21920,40359.0,0.13,14.05,13.71,12.68,13.6,2,69.33,14.39,54.62,13.83,1,0,0,2,0,1,0,0,0,1,0.0180000011737551,Up
191,12/13:00,30m,ADEA,Sell,0,Sell,5.3,0.0,64.01,14.34,14.34,14.34,14.34,0,38819.3,0.12,14.07,13.73,12.7,13.62,1,69.33,14.39,54.62,13.83,1,0,0,2,0,1,0,0,0,1,0.019384618905871,Up
251,12/09:30,30m,AI,Buy,Buy,0,-6.26,2.31,38.15,37.0,38.45,37.0,37.68,2293369,991609.8,1.27,39.91,40.68,37.47,40.19,8,66.28,45.0,38.15,37.0,1,0,0,0,1,0,0,0,2,0,-0.0089654188889696,Down
252,12/10:00,30m,AI,Buy,Buy,0,-1.08,1.62,50.06,37.62,39.85,37.62,39.79,1729181,1064946.1,1.34,39.72,40.68,37.51,40.22,7,50.06,39.85,38.15,37.0,0,0,0,0,1,1,0,0,2,0,0.0284615736741287,Up
253,12/10:30,30m,AI,Buy,Buy,0,-2.49,1.34,47.49,39.78,39.93,38.86,39.24,1541316,1149329.2,1.32,39.52,40.66,37.55,40.24,6,50.06,39.85,38.15,37.0,1,0,0,0,1,1,0,0,2,0,0.0175385108360828,Up
254,12/11:00,30m,AI,Buy,Buy,0,-2.99,0.63,46.61,39.2,39.67,38.74,39.05,721251,1146157.7,1.29,39.25,40.64,37.58,40.25,5,50.06,39.85,38.15,37.0,1,0,0,0,1,1,0,0,2,0,0.0115384615384641,Up
255,12/11:30,30m,AI,Buy,Buy,0,-4.69,0.51,43.39,39.06,39.07,38.33,38.35,584626,1138912.0,1.25,39.08,40.6,37.61,40.24,4,50.06,39.85,38.15,37.0,1,0,0,0,1,1,0,0,2,0,-0.0151846665602448,Down
256,12/12:00,30m,AI,Buy,Buy,0,-5.66,0.51,41.58,38.33,38.5,37.84,37.94,581552,1145505.7,1.21,38.91,40.56,37.64,40.21,3,50.06,39.85,38.15,37.0,1,0,0,0,1,1,0,0,2,0,-0.0215384850135151,Down
257,12/12:30,30m,AI,Buy,Buy,0,-4.67,0.42,43.97,37.93,38.5,37.75,38.33,481180,1144341.1,1.18,38.75,40.53,37.66,40.21,2,50.06,39.85,38.15,37.0,1,0,0,0,1,1,0,0,2,0,-0.0091538062462532,Down
258,12/13:00,30m,AI,Buy,Buy,0,-4.43,0.06,44.6,38.33,38.46,38.31,38.43,66325,1080777.4,1.1,38.77,40.5,37.69,40.21,1,50.06,39.85,38.15,37.0,1,0,0,0,1,1,0,0,2,0,0.0055384709284851,Up
342,12/09:30,30m,ALB,Buy,Buy,0,-1.89,0.89,42.58,103.61,103.84,102.25,102.85,74503,83597.0,0.93,103.35,105.66,107.01,104.83,8,48.58,103.87,29.95,101.58,1,0,0,0,1,1,0,0,2,0,0.021230844350967,Up
393,12/09:30,30m,ALGT,Sell,0,Sell,11.02,3.33,79.91,88.0,94.45,87.83,92.18,94829,28450.7,1.39,85.65,83.33,80.32,83.03,8,69.18,86.9,63.01,86.52,0,1,0,2,0,1,0,0,0,1,0.1283077533428525,Up
394,12/10:00,30m,ALGT,Sell,0,Sell,11.22,2.41,80.51,92.18,93.3,91.52,92.51,84005,34928.9,1.42,86.17,83.57,80.42,83.18,7,80.51,93.3,63.01,86.52,0,0,0,2,0,1,0,0,0,1,0.1499231191781831,Up
395,12/10:30,30m,ALGT,Sell,0,Sell,9.84,1.01,73.4,92.51,92.85,91.21,91.5,37681,37150.4,1.43,86.65,83.78,80.51,83.3,6,80.51,93.3,63.01,86.52,1,0,0,2,0,1,0,0,0,1,0.1209230863130983,Up
