,Datetime,Interval,Ticker,Combined_Signals_65,SMA_65_trend,Open,High,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff
240,13/09:30,1h,SQ,Sell,Down,94.62,95.39,-1.22,1.26,45.49,93.52,95.0,1579278,1255616.4,1.29,95.85,96.48,87.73,96.18,7,45.49,95.39,40.24,93.91,0,0,0,2,1,1,0,0,0,0,-0.0828788063742962
276,12/10:30,1h,BAC,Buy,Down,46.19,46.28,0.03,0.75,53.9,46.1,46.22,2770731,3673335.7,0.28,45.94,46.37,45.81,46.21,13,35.02,46.11,27.82,45.54,0,1,0,0,0,1,0,0,2,1,-0.0257576451157035
277,12/11:30,1h,BAC,Buy,Down,46.22,46.47,0.46,0.54,59.05,46.2,46.4,1926668,3572701.6,0.28,45.95,46.36,45.83,46.19,12,59.05,46.47,27.82,45.54,0,0,0,0,0,1,0,0,2,1,-0.0219697663278282
278,12/12:30,1h,BAC,Buy,Down,46.4,46.46,0.46,0.64,58.08,46.31,46.38,2138795,3338896.9,0.27,45.96,46.35,45.85,46.17,11,59.05,46.47,27.82,45.54,1,0,0,0,0,1,0,0,2,1,-0.0227272727272733
279,12/13:30,1h,BAC,Buy,Down,46.39,46.4,0.02,0.6,50.0,46.15,46.15,1986096,3284836.5,0.26,45.96,46.34,45.87,46.14,10,59.05,46.47,27.82,45.54,1,0,0,0,0,1,0,0,2,1,-0.025409120501898
280,12/14:30,1h,BAC,Buy,Down,46.15,46.31,0.33,0.61,54.16,46.13,46.29,1973552,3241157.0,0.26,45.98,46.33,45.89,46.14,9,59.05,46.47,27.82,45.54,1,0,0,0,0,1,0,0,2,1,-0.0072333595969382
122,12/09:30,1h,CLH,Buy,Down,252.0,253.15,1.06,0.57,52.95,248.0,249.0,28591,49814.4,2.41,245.82,249.16,251.31,246.4,14,61.7,252.26,26.68,242.27,1,0,0,0,0,1,0,0,2,1,-0.0630303585168121
123,12/10:30,1h,CLH,Buy,Down,249.09,249.78,0.91,0.38,51.92,247.19,248.62,17403,46199.2,2.42,246.16,249.01,251.38,246.38,13,61.7,252.26,26.68,242.27,1,0,0,0,0,1,0,0,2,1,-0.0245453805634383
124,12/11:30,1h,CLH,Buy,Down,248.4,248.9,0.68,0.51,50.31,247.55,248.04,20225,39958.7,2.34,246.35,248.9,251.45,246.37,12,61.7,252.26,26.68,242.27,1,0,0,0,0,1,0,0,2,1,-0.0087881377249061
125,12/12:30,1h,CLH,Buy,Up,247.77,249.24,1.15,0.52,53.5,247.74,249.24,18483,35530.2,2.28,246.63,248.79,251.52,246.4,11,61.7,252.26,26.68,242.27,1,0,0,0,0,1,0,0,2,1,0.0304546934185907
