,Datetime,Interval,Ticker,Combined_Signals_65,SMA_65_trend,Open,High,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff
2194,13/09:30,1h,ADBE,Buy,Down,473.75,474.91,-12.83,1.25,14.99,463.29,463.39,2547281,2036395.6,7.59,519.47,534.33,513.69,531.6,7,18.25,477.65,10.82,471.0,1,0,0,0,1,1,1,1,2,0,-2.7225748697916288
2195,13/10:30,1h,ADBE,Buy,Down,463.38,464.23,-12.29,0.74,15.62,460.66,463.93,1597681,2151723.7,7.3,515.19,532.86,513.59,528.92,6,18.25,477.65,10.82,471.0,1,0,0,0,1,1,1,1,2,0,-2.6772007797703736
2196,13/11:30,1h,ADBE,Buy,Down,464.02,465.49,-12.48,0.38,14.88,460.44,460.52,821669,2153729.6,7.14,510.73,531.32,513.48,526.18,5,18.25,477.65,10.82,471.0,1,0,0,0,1,1,1,1,2,0,-2.7398478190103788
2197,13/12:30,1h,ADBE,Buy,Down,460.6,460.87,-12.43,0.63,14.39,457.57,458.26,997566,1595182.7,6.87,506.22,529.75,513.35,523.32,4,18.25,477.65,14.39,457.57,1,0,0,0,1,0,0,0,2,0,-2.8617868134469973
2198,13/13:30,1h,ADBE,Buy,Down,458.15,459.52,-11.9,0.58,14.73,456.8,458.52,812727,1404234.4,6.57,501.86,528.23,513.22,520.46,3,18.25,477.65,14.39,457.57,1,0,0,0,1,1,0,0,2,0,-2.859241832386374
2199,13/14:30,1h,ADBE,Buy,Down,458.52,460.07,-11.44,1.0,14.69,457.62,458.32,1414201,1414930.3,6.28,497.41,526.67,513.1,517.55,2,18.25,477.65,14.39,457.57,1,0,0,0,1,1,0,0,2,0,-2.9116673325047486
2200,13/15:30,1h,ADBE,Buy,Down,458.32,467.14,-9.56,1.25,24.67,458.0,465.69,1878241,1505435.0,6.48,493.26,525.27,513.02,514.93,1,18.25,477.65,14.39,457.57,0,0,0,0,1,1,0,0,2,0,-2.6178792317708712
1517,13/09:30,1h,AI,Buy,Down,38.0,38.68,-4.91,1.77,44.22,37.11,38.31,3041619,1720724.8,1.45,39.81,39.67,33.0,40.29,7,49.06,39.85,41.66,38.12,1,0,0,0,1,1,0,0,2,0,-0.0549151102701941
1518,13/10:30,1h,AI,Buy,Down,38.33,39.1,-4.57,0.84,44.78,37.73,38.4,1430759,1702336.9,1.45,39.5,39.67,33.06,40.24,6,49.06,39.85,41.66,38.12,1,0,0,0,1,1,0,0,2,0,-0.0451507568359375
1519,13/11:30,1h,AI,Buy,Down,38.42,40.2,-2.47,1.61,49.55,38.39,39.22,2910820,1803789.1,1.47,39.28,39.67,33.13,40.21,5,49.06,39.85,41.66,38.12,0,0,0,0,1,1,0,0,2,0,-0.0263636039965078
1520,13/12:30,1h,AI,Buy,Down,39.16,39.28,-2.48,0.89,49.33,38.53,39.18,1361879,1537722.0,1.42,39.01,39.68,33.19,40.18,4,49.06,39.85,41.66,38.12,0,0,0,0,1,1,0,0,2,0,-0.0368424617882965
1521,13/13:30,1h,AI,Buy,Down,39.2,39.81,-1.37,0.69,51.79,39.04,39.6,970232,1408488.5,1.37,38.93,39.71,33.26,40.15,3,49.06,39.85,41.66,38.12,0,0,0,0,1,1,0,0,2,0,-0.0278788479891645
1522,13/14:30,1h,AI,Buy,Down,39.63,39.81,-1.02,0.64,52.45,39.1,39.71,879980,1379868.7,1.33,38.83,39.75,33.34,40.12,2,49.06,39.85,41.66,38.12,0,0,0,0,1,1,0,0,2,0,-0.0296969558253437
1523,13/15:30,1h,AI,Buy,Down,39.7,39.76,-1.49,0.8,50.76,39.4,39.46,1096373,1377033.8,1.26,38.88,39.79,33.41,40.06,1,49.06,39.85,41.66,38.12,0,0,0,0,1,1,0,0,2,0,-0.0633333379571965
2659,13/09:30,1h,AMC,Buy,Down,4.3,4.32,-6.01,2.05,29.74,4.17,4.18,4534093,2209063.8,0.08,4.36,4.62,4.58,4.45,7,37.13,4.34,29.74,4.17,1,0,0,0,1,0,0,0,2,0,-0.0157575751795917
2660,13/10:30,1h,AMC,Buy,Down,4.19,4.22,-5.03,0.86,33.18,4.16,4.22,1949199,2272976.8,0.08,4.35,4.6,4.58,4.44,6,37.13,4.34,29.74,4.17,1,0,0,0,1,1,0,0,2,0,-0.0142424178845947
2661,13/11:30,1h,AMC,Buy,Down,4.22,4.25,-5.05,0.54,32.33,4.2,4.2,1133010,2108102.6,0.08,4.34,4.59,4.58,4.42,5,37.13,4.34,29.74,4.17,1,0,0,0,1,1,0,0,2,0,-0.0148515267805624
2662,13/12:30,1h,AMC,Buy,Down,4.2,4.22,-4.57,0.68,33.18,4.17,4.21,1229042,1817069.5,0.07,4.33,4.58,4.58,4.41,4,37.13,4.34,29.74,4.17,1,0,0,0,1,1,0,0,2,0,-0.0150939334522588
