No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,AA,Alcoa Corp,Basic Materials,Aluminum,USA,9979.29,,39.12,-1.26%,3602623
2,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1812.89,,36.43,10.39%,4420083
3,ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2759.78,11.14,14.45,1.26%,1700250
4,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,4175.15,,8.39,17.02%,84219576
5,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2435.42,11.14,75.29,-0.49%,490249
6,ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3299.08,,20.3,-3.06%,952239
7,ADEA,Adeia Inc,Technology,Software - Application,USA,1580.02,39.32,14.38,0.56%,905491
8,ADNT,Adient plc,Consumer Cyclical,Auto Parts,USA,1599.79,82.69,18.96,-0.58%,720329
9,ADT,ADT Inc,Industrials,Security & Protection Services,USA,6476.53,7.84,7.2,-0.83%,3202284
10,ADV,Advantage Solutions Inc,Communication Services,Advertising Agencies,USA,1100.22,,3.45,-0.58%,261394
11,AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,22826.91,,70.7,2.81%,8352301
12,AI,C3.ai Inc,Technology,Software - Application,USA,5254.03,,39.46,3.16%,12272862
13,AIR,AAR Corp,Industrials,Aerospace & Defense,USA,2253.33,34.89,63.22,-0.74%,269392
14,AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,5509.82,11.25,49.42,0.10%,569356
15,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,11237.89,,99.38,-3.79%,1643917
16,ALGM,Allegro Microsystems Inc,Technology,Semiconductors,USA,4114.98,,22,1.66%,1912573
17,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,17547.98,40.13,235.39,-0.14%,519180
18,ALGT,Allegiant Travel,Industrials,Airlines,USA,1513.89,,84.9,-2.79%,774666
19,ALK,Alaska Air Group Inc,Industrials,Airlines,USA,7836.46,25.17,62.57,-1.34%,3724012
20,AM,Antero Midstream Corp,Energy,Oil & Gas Midstream,USA,7296.96,18.79,15.11,0.33%,2265798
21,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,139835.78,19.67,169.35,0.16%,7051664
22,AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA,3001.47,,72.53,-0.77%,512057
23,AMC,AMC Entertainment Holdings Inc,Communication Services,Entertainment,USA,1546.45,,4.18,-3.02%,18338910
24,AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,200131.52,113.53,126.91,-2.83%,67544736
25,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,6585.29,17.96,26.54,0.61%,1451912
26,AMRC,Ameresco Inc,Industrials,Engineering & Construction,USA,1302.73,24.94,25,-0.64%,224993
27,AMWD,American Woodmark Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1266.96,12.6,84.25,-0.11%,159579
28,ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail,USA,7451.66,14.12,142.62,3.72%,1242792
29,AORT,Artivion Inc,Healthcare,Medical Devices,USA,1189.31,,28.93,-1.93%,201425
30,AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,USA,1257.12,,45.2,-4.20%,744709
31,APA,APA Corporation,Energy,Oil & Gas E&P,USA,8427.51,3.24,22.86,-0.35%,4064586
32,APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,USA,3712.1,13.36,46.96,-1.63%,262231
33,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,10333.8,,37.63,-1.49%,1675645
34,APGE,Apogee Therapeutics Inc,Healthcare,Biotechnology,USA,2614.42,,44.5,0.41%,692234
35,APLD,Applied Digital Corporation,Technology,Information Technology Services,USA,1852,,8.9,-1.49%,10821438
36,APO,Apollo Global Management Inc,Financial,Asset Management,USA,99838.31,18.57,176.43,0.01%,3166777
37,APP,Applovin Corp,Technology,Software - Application,USA,108308.67,98.18,324.47,-0.53%,4704074
38,APPN,Appian Corp,Technology,Software - Infrastructure,USA,2603.84,,36.82,-4.29%,307115
39,AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,9865.14,225.26,32.37,-2.06%,2926701
40,ARHS,Arhaus Inc,Consumer Cyclical,Home Improvement Retail,USA,1445.59,18.9,10.55,-2.50%,1094050
41,ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,USA,1253.37,,9.16,-0.97%,1196560
42,ARIS,Aris Water Solutions Inc,Utilities,Utilities - Regulated Water,USA,1503.4,31.99,25.81,0.04%,441795
43,ARLO,Arlo Technologies Inc,Industrials,Building Products & Equipment,USA,1175.85,,12.39,-5.42%,517760
44,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,159657.41,251.51,151.91,2.64%,8140439
