number,Ticker
1,NVDA
2,TSLA
3,AMZN
4,AAPL
5,MSFT
6,GOOG
7,META
8,PTON
9,CVNA
10,NRG
11,MARA
12,IOT
13,NVAX
14,CLSK
15,PYPL
16,RCL
17,CZR
18,CEG
19,VZ
20,AMD
21,AFRM
22,BIDU
23,MGM
24,VLO
25,SOFI
26,CVS
27,BILI
28,DVN
29,TTD
30,PFE
31,AVGO
32,Z
33,CCL
34,JD
35,MRK
36,UPST
37,DIS
38,BABA
39,PEP
40,PG
41,PDD
42,NVO
43,NFLX
44,LOW
45,TEVA
46,MU
47,FUTU
48,SCHW
49,WMT
50,V
51,COST
52,MS
53,TGT
54,CHWY
55,SNOW
56,ON
57,CLH
58,RIVN
59,SHOP
60,GME
61,ZM
62,SBUX
63,NKE
64,ABNB
65,SE
66,DOCS
67,QCOM
68,SAVA
69,AI
70,COIN
71,HOOD
72,DAL
73,ZIM
74,DG
75,SOUN
76,ACB
77,ULTA
78,CVX
79,SNAP
80,ALAB
81,U
82,CELH
83,CMG
84,TWLO
85,FSLR
86,MRVL
87,CGC
88,INTC
89,SMCI
90,MSTR
91,PINS
92,ACHR
93,LULU
94,OKTA
95,ZS
96,DOCU
97,APP
98,ADBE
99,RKLB
100,SQ
101,RBLX
102,DJT
103,CRWD
104,ROKU
105,JPM
106,ASAN
107,RDDT
108,MCD
109,W
110,IONQ
111,ASTS
112,HIMS
113,IBM
114,LUNR
115,GOOGL
116,TSM
117,CRM
118,WDAY
119,AMC
120,APLD
121,WFC
122,AAL
123,AMSC
124,CORZ
125,BA
126,RIOT
127,BAC
128,DASH
129,CAVA
130,DELL
131,RGTI
132,PLTR
133,ARM
134,WBA
135,XOM
136,TIGR
137,ENPH
138,FTNT
139,UBER
140,LVS
141,KHC
142,RH
143,GLW
