,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS,bull_pattern_count,bull_pattern_names,bear_pattern_count,bear_pattern_names,filtered
3,3,963,963,12/15/2023,ABBV,154.7400055,155.8899994,153.1100006,154.0399933,154.0399933,15203000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,CDLXSIDEGAP3METHODS,0,,1
6,6,1686,1686,12/15/2023,AMD,139.5200043,140.8899994,137.25,139.1499939,139.1499939,70178600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
8,8,2168,2168,12/15/2023,AFL,80.84999847,81.02999878,79.97000122,80.56999969,80.56999969,6747500,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
13,13,3373,3373,12/15/2023,ALK,38.93999863,39.25,38.43000031,38.95000076,38.95000076,33770200,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,"CDLRICKSHAWMAN,CDLRISEFALL3METHODS",0,,1
14,14,3614,3614,12/15/2023,ALB,147.1600037,151.2299957,145.5099945,147.0599976,147.0599976,5938100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,2,"CDLRICKSHAWMAN,CDLRISEFALL3METHODS",0,,1
19,19,4819,4819,12/15/2023,ALL,138.1100006,141.9499969,138.0,139.0599976,139.0599976,3198700,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,CDLINVERTEDHAMMER,0,,1
25,25,6265,6265,12/15/2023,AEE,73.47000122,74.06999969,70.80999756,71.73000336,71.73000336,7428200,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
29,29,7229,7229,12/15/2023,AIG,65.80000305,66.98000336,65.69000244,66.01000214,66.01000214,7661900,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
33,33,8193,8193,12/15/2023,AME,163.1699982,164.5500031,162.3999939,163.1300049,163.1300049,1451300,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,1,CDLHARAMICROSS,1
38,38,9398,9398,12/15/2023,AON,311.3200073,314.2200012,307.5799866,310.4299927,310.4299927,2907600,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
40,40,9880,9880,12/15/2023,AAPL,197.5299988,198.3999939,197.0,197.5700073,197.5700073,128256700,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
41,41,10121,10121,12/15/2023,AMAT,162.2100067,164.2100067,161.4900055,161.9499969,161.9499969,8577200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
48,48,11808,11808,12/15/2023,T,16.52000046,16.65999985,16.45000076,16.52000046,16.52000046,65897600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
49,49,12049,12049,12/15/2023,ATO,115.0,115.0299988,113.9800034,114.8199997,114.8199997,2470500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLHAMMER,0,,1
51,51,12531,12531,12/15/2023,ADP,235.8899994,237.1799927,233.6900024,234.1399994,234.1399994,5260500,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
52,52,12772,12772,12/15/2023,AZO,2600.909912,2634.620117,2566.800049,2628.050049,2628.050049,357600,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
61,61,14941,14941,12/15/2023,BAX,38.75,39.16999817,38.50999832,38.70000076,38.70000076,6879700,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,1,CDLHARAMICROSS,1
66,66,16146,16146,12/15/2023,BIIB,257.3399963,259.8599854,248.0099945,248.1300049,248.1300049,3862400,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDLEVENINGSTAR,1
