,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
240,240,12/15/2023,MMM,106.3499985,107.5299988,105.9599991,106.9800034,106.9800034,11083200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,481,12/15/2023,AOS,79.73000336,80.37999725,78.98000336,79.19999695,79.19999695,2910400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,722,12/15/2023,ABT,107.8600006,107.9700012,106.5100021,107.2900009,107.2900009,13316300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,963,12/15/2023,ABBV,154.7400055,155.8899994,153.1100006,154.0399933,154.0399933,15203000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1204,1204,12/15/2023,ACN,338.4400024,346.9599915,336.25,344.1499939,344.1499939,3880200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,1445,12/15/2023,ADBE,580.5999756,591.6599731,578.2000122,584.6799927,584.6799927,8663700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,1686,12/15/2023,AMD,139.5200043,140.8899994,137.25,139.1499939,139.1499939,70178600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
1927,1927,12/15/2023,AES,19.60000038,19.76000023,19.15999985,19.35000038,19.35000038,10852600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,2168,12/15/2023,AFL,80.84999847,81.02999878,79.97000122,80.56999969,80.56999969,6747500,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,2409,12/15/2023,A,137.2400055,138.8999939,136.2799988,136.7799988,136.7799988,4876000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,2650,12/15/2023,APD,270.2799988,272.730011,269.6900024,270.8599854,270.8599854,3312900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891,2891,12/15/2023,ABNB,147.2599945,148.7299957,145.8600006,146.6000061,146.6000061,7771000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3132,3132,12/15/2023,AKAM,118.4499969,119.2799988,117.7900009,119.1399994,119.1399994,2888800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3373,3373,12/15/2023,ALK,38.93999863,39.25,38.43000031,38.95000076,38.95000076,33770200,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
3614,3614,12/15/2023,ALB,147.1600037,151.2299957,145.5099945,147.0599976,147.0599976,5938100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
3855,3855,12/15/2023,ARE,132.7599945,133.5099945,128.3399963,130.1399994,130.1399994,3002800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4096,4096,12/15/2023,ALGN,257.2799988,262.6199951,251.5700073,255.0099945,255.0099945,6477700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337,4337,12/15/2023,ALLE,117.8600006,118.6299973,116.8700027,117.5199966,117.5199966,1580900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4578,4578,12/15/2023,LNT,51.83000183,51.99000168,50.27000046,50.61999893,50.61999893,4049100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4819,4819,12/15/2023,ALL,138.1100006,141.9499969,138,139.0599976,139.0599976,3198700,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
