,Date,Ticker,Open,High,Low,Close,Volume,RSI,rsi_flag1,rsi_flag2,rsi_result
0,1/23/2024,A,133.6399994,133.9400024,130.3300018,131.6399994,854900,50.6894506,0,0,0
1,1/24/2024,A,132.4100037,132.8000031,129.4299927,129.7799988,1141900,46.05530818,0,0,0
2,1/25/2024,A,131.1100006,131.4299927,129.4299927,129.8800049,1120900,46.33936532,0,0,0
3,1/26/2024,A,133.7100067,134.2299957,130.6399994,130.9900055,1319800,49.51685935,0,0,0
4,1/29/2024,A,131.75,132.8999939,131.2799988,132.8300018,1407200,54.34314834,0,0,0
5,1/30/2024,A,132.8300018,134.5200043,132.6900024,134.2799988,1428700,57.76947126,0,0,0
6,1/31/2024,A,134.6100006,134.6199951,130,130.1000061,1101400,46.85359987,0,0,0
7,2/1/2024,A,130.0599976,133.0500031,129.2599945,133.0500031,862000,53.52759513,0,0,0
8,1/23/2024,AA,29.14999962,30.48500061,29.03000069,29.51000023,9363900,49.72717581,0,0,0
9,1/24/2024,AA,30.25,30.37000084,29.31999969,29.76000023,8916000,50.81512431,0,0,0
10,1/25/2024,AA,29.95999908,30.45000076,29.20999908,29.87999916,4683300,51.3592477,0,0,0
11,1/26/2024,AA,30.21999931,30.70000076,29.87100029,30.61000061,5123900,54.64632082,0,0,0
12,1/29/2024,AA,30.45999908,30.96999931,29.68899918,30.90999985,4649100,55.9633767,0,0,0
13,1/30/2024,AA,30.34000015,30.84000015,30,30.61000061,4714700,54.26628067,0,0,0
14,1/31/2024,AA,30.48999977,31.36000061,29.71500015,29.75,5760400,49.62081071,0,0,0
15,2/1/2024,AA,30.07999992,30.40500069,29.14999962,29.69000053,4169500,49.3036989,0,0,0
16,1/23/2024,AAL,14.14000034,14.47000027,13.93000031,14,49961900,53.97954946,0,0,0
17,1/24/2024,AAL,14.15999985,14.18000031,13.85000038,13.93000031,42219600,53.10412411,0,0,0
18,1/25/2024,AAL,14.59000015,15.46000004,14.52000046,15.35999966,96168300,65.43619032,0,0,0
19,1/26/2024,AAL,15.55000019,15.84000015,15,15.13000011,45618600,62.58549563,0,0,0
20,1/29/2024,AAL,15.36999989,15.39000034,14.85999966,14.93999958,36835300,60.25039743,0,0,0
21,1/30/2024,AAL,14.78999996,14.88000011,14.52999973,14.52999973,24943100,55.44318636,0,0,0
22,1/31/2024,AAL,14.48999977,14.60999966,14.21000004,14.22999954,31538800,52.1635696,0,0,0
23,2/1/2024,AAL,14.35000038,14.39999962,13.86999989,14.34000015,39186200,53.25542316,0,0,0
24,1/23/2024,AAON,72.81999969,73.44000244,70.55999756,70.69999695,280500,51.0351887,0,0,0
25,1/24/2024,AAON,71.41999817,72.02999878,69.73999786,69.80999756,302600,46.85514153,0,0,0
26,1/25/2024,AAON,70.98000336,71.16999817,69.61000061,70.23999786,295500,49.02740232,0,0,0
27,1/26/2024,AAON,70.81999969,70.83000183,69.65000153,69.94000244,274900,47.56662638,0,0,0
