,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
0,2023-01-03,MMM,121.5199966430664,122.63999938964844,120.37000274658205,122.47000122070312,115.48816680908205,2612800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023-01-04,MMM,123.3499984741211,125.29000091552734,122.70999908447266,125.1500015258789,118.01537322998048,2769700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023-01-05,MMM,124.20999908447266,124.56999969482422,122.45999908447266,122.95999908447266,115.95022583007812,2606600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2023-01-06,MMM,124.66000366210938,127.12999725341795,123.75,126.72000122070312,119.49588012695312,2417000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2023-01-09,MMM,127.0,129.4600067138672,126.11000061035156,126.79000091552734,119.56188201904295,2871300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2023-01-10,MMM,127.06999969482422,128.19000244140625,126.6999969482422,128.1300048828125,120.82549285888672,1648100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2023-01-11,MMM,128.92999267578125,129.19000244140625,127.62000274658205,129.1199951171875,121.75904846191406,2013500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2023-01-12,MMM,129.60000610351562,129.82000732421875,127.79000091552734,129.35000610351562,121.9759521484375,1839500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2023-01-13,MMM,128.4199981689453,129.61000061035156,128.1999969482422,129.50999450683594,122.12681579589844,1693400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2023-01-17,MMM,129.75999450683594,129.89999389648438,126.38999938964844,126.5999984741211,119.3827133178711,3510900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
