,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
250,250,2024-01-02,MMM,108.62000274658205,110.66000366210938,108.4499969482422,110.0,110.0,2776300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,501,2024-01-02,AOS,81.69999694824219,82.62999725341797,81.19000244140625,81.44000244140625,81.44000244140625,613800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,752,2024-01-02,ABT,109.55999755859376,111.0,109.55999755859376,109.8499984741211,109.8499984741211,5058600.0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
1003,1003,2024-01-02,ABBV,154.89999389648438,160.13999938964844,154.77000427246094,159.82000732421875,159.82000732421875,8059500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,1254,2024-01-02,ACN,348.19000244140625,350.29998779296875,345.2900085449219,346.9200134277344,346.9200134277344,2319500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,1505,2024-01-02,ADBE,589.510009765625,590.4400024414062,576.760009765625,580.0700073242188,580.0700073242188,2837100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,1756,2024-01-02,AMD,144.27999877929688,144.39999389648438,137.42999267578125,138.5800018310547,138.5800018310547,64765200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,2007,2024-01-02,AES,19.13999938964844,19.530000686645508,19.0,19.34000015258789,19.34000015258789,4785300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2258,2258,2024-01-02,AFL,82.55000305175781,83.30000305175781,82.29000091552734,83.27999877929688,83.27999877929688,1888000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509,2509,2024-01-02,A,138.19000244140625,140.58999633789062,137.91000366210938,138.75,138.75,1441600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
