,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS,bull_pattern_count,bull_pattern_names,bear_pattern_count,bear_pattern_names,filtered
5,5,5,5,2023-12-08,A,128.08999633789062,129.0,126.97000122070312,127.1999969482422,126.98522186279295,1438100,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDL3OUTSIDE,1
6,6,6,6,2023-12-11,A,127.62000274658205,129.6300048828125,127.22000122070312,128.97000122070312,128.7522430419922,1897100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,,1,CDLXSIDEGAP3METHODS,1
17,17,17,17,2023-12-27,A,139.77999877929688,140.16000366210938,139.0800018310547,139.82000732421875,139.58392333984375,1182300,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
18,18,18,18,2023-12-28,A,140.5399932861328,140.80999755859375,139.64999389648438,139.77000427246094,139.5340118408203,892600,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,CDLMATCHINGLOW,0,,1
19,19,19,19,2023-12-29,A,139.07000732421875,139.6999969482422,138.36000061035156,139.02999877929688,139.02999877929688,1014400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
21,21,21,21,2024-01-03,A,138.0,138.0,131.07000732421875,131.16000366210938,131.16000366210938,2074500,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CDLMARUBOZU,1
29,29,29,29,2023-12-07,AA,25.15999984741211,25.290000915527344,24.270000457763672,24.940000534057617,24.940000534057617,6780000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLHAMMER,0,,1
30,30,30,30,2023-12-08,AA,25.040000915527344,25.725000381469727,24.8700008392334,25.020000457763672,25.020000457763672,5128100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,CDLMATCHINGLOW,0,,1
31,31,31,31,2023-12-11,AA,24.75,25.31999969482422,24.670000076293945,24.93000030517578,24.93000030517578,4290700,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,CDLINVERTEDHAMMER,0,,1
33,33,33,33,2023-12-13,AA,24.040000915527344,26.040000915527344,23.88500022888184,25.989999771118164,25.989999771118164,7919100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLMARUBOZU,0,,1
34,34,34,34,2023-12-14,AA,27.040000915527344,30.13500022888184,26.940000534057617,29.89999961853028,29.89999961853028,16594000,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDL3OUTSIDE,0,,1
41,41,41,41,2023-12-26,AA,33.86000061035156,34.119998931884766,33.5,33.869998931884766,33.869998931884766,4505900,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
43,43,43,43,2023-12-28,AA,34.68000030517578,34.8120002746582,34.198001861572266,34.54999923706055,34.54999923706055,3909900,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
44,44,44,44,2023-12-29,AA,34.310001373291016,34.7400016784668,33.93000030517578,34.0,34.0,3294300,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,CDLINVERTEDHAMMER,0,,1
47,47,47,47,2024-01-04,AA,31.1299991607666,31.489999771118164,30.86000061035156,31.1299991607666,31.1299991607666,4543600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
49,49,49,49,2024-01-08,AA,31.81999969482422,32.09000015258789,31.21999931335449,31.729999542236328,31.729999542236328,4990200,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,1,CDLHARAMICROSS,1
50,50,50,50,2023-12-01,AAL,12.460000038146973,13.0600004196167,12.4399995803833,13.020000457763672,13.020000457763672,48841500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLMARUBOZU,0,,1
52,52,52,52,2023-12-05,AAL,13.220000267028809,13.289999961853027,13.010000228881836,13.130000114440918,13.130000114440918,40142400,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLHAMMER,0,,1
56,56,56,56,2023-12-11,AAL,13.760000228881836,13.789999961853027,13.609999656677246,13.720000267028809,13.720000267028809,28383700,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLHAMMER,0,,1
78,78,78,78,2023-12-06,AAON,64.0,64.77999877929688,63.720001220703125,63.93999862670898,63.93999862670898,408500,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2,"CDLHARAMICROSS,CDLRICKSHAWMAN",0,,1
80,80,80,80,2023-12-08,AAON,64.7699966430664,66.44000244140625,64.38999938964844,65.33999633789062,65.33999633789062,298900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDL3OUTSIDE,0,,1
87,87,87,87,2023-12-19,AAON,71.0999984741211,72.51000213623047,71.0999984741211,72.36000061035156,72.36000061035156,611400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLMARUBOZU,0,,1
91,91,91,91,2023-12-26,AAON,74.0,74.70999908447266,73.48999786376953,74.1500015258789,74.1500015258789,203100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
96,96,96,96,2024-01-03,AAON,73.19000244140625,73.62999725341797,72.16000366210938,73.11000061035156,73.11000061035156,456000,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,1,CDLHARAMICROSS,1
99,99,99,99,2024-01-08,AAON,72.36000061035156,73.76000213623047,72.36000061035156,73.69999694824219,73.69999694824219,234500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLMARUBOZU,0,,1
102,102,102,102,2023-12-05,AAP,55.400001525878906,55.41999816894531,52.31999969482422,53.15999984741211,53.15999984741211,1580500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,CDLXSIDEGAP3METHODS,0,,1
112,112,112,112,2023-12-19,AAP,61.06999969482422,61.900001525878906,60.34000015258789,60.86000061035156,60.86000061035156,1868900,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2,"CDLHARAMICROSS,CDLRICKSHAWMAN",0,,1
114,114,114,114,2023-12-21,AAP,60.91999816894531,61.220001220703125,59.540000915527344,60.68999862670898,60.68999862670898,975600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
118,118,118,118,2023-12-28,AAP,61.310001373291016,62.150001525878906,60.97999954223633,61.4900016784668,61.4900016784668,895600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
119,119,119,119,2023-12-29,AAP,61.150001525878906,61.369998931884766,60.79999923706055,61.02999877929688,61.02999877929688,1393700,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
133,133,133,133,2023-12-13,AAPL,195.08999633789065,198.0,194.8500061035156,197.9600067138672,197.9600067138672,70404200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDLMARUBOZU,0,,1
134,134,134,134,2023-12-14,AAPL,198.0200042724609,199.6199951171875,196.1600036621093,198.1100006103516,198.1100006103516,66831600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
135,135,135,135,2023-12-15,AAPL,197.52999877929688,198.3999938964844,197.0,197.57000732421875,197.57000732421875,128256700,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
136,136,136,136,2023-12-18,AAPL,196.08999633789065,196.6300048828125,194.38999938964844,195.88999938964844,195.88999938964844,55751900,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
146,146,146,146,2024-01-03,AAPL,184.22000122070312,185.8800048828125,183.42999267578125,184.25,184.25,58414500,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
147,147,147,147,2024-01-04,AAPL,182.1499938964844,183.08999633789065,180.8800048828125,181.9100036621093,181.9100036621093,71983600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,CDLRICKSHAWMAN,0,,1
153,153,153,153,2023-12-06,AAT,21.290000915527344,21.5,21.01000022888184,21.18000030517578,21.18000030517578,487300,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,2,"CDLHAMMER,CDLRICKSHAWMAN",0,,1
