,signal,ticker,occurrence,patterns
0,BUY,SAGE,4,- ADX_Bullish_Trends CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
1,BUY,TSCO,4,- ADX_Bullish_Trends Bollinger_near_Upper_Band CCI_Buy_Signals Fast_Stochastic_Overbought MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
2,BUY,AMAM,4,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio High_Volume_Stocks MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more TRIX_Bullish_Signal_Cross Williams_%R_Overbought
3,BUY,ARDX,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
4,BUY,ASAI,3,- CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross TRIX_Bullish_Signal_Cross Williams_%R_Overbought
5,BUY,SAGE,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Volume_Stocks MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
6,BUY,BBAI,3,- CCI_Buy_Signals EMA_50/120_Bullish_Crossovers High_Sharpe_Ratio MACD_Bullish_Signal_Cross
7,BUY,CPZ,3,#NAME?
8,BUY,EDR,3,- Bollinger_near_Upper_Band CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
9,BUY,EWCZ,3,- CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
10,BUY,GLW,3,#NAME?
11,BUY,INZY,3,- CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
12,BUY,IOVA,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
13,BUY,KALV,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
14,BUY,LAZ,3,- CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Dividend_Stocks High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
15,BUY,NVDA,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
16,BUY,NVDU,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
17,BUY,SMCI,3,- CCI_Buy_Signals Fast_Stochastic_Overbought MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
